Date	Visitor	Score	Home	Record
March 2	Detroit	2 – 3	NY Islanders	33–25–9
March 5	Toronto	1 – 5	Detroit	34–25–9
March 7	Detroit	7 – 1	Minnesota	35–25–9
March 10	Detroit	6 – 3	Edmonton	36–25–9
March 11	Detroit	3 – 6	Calgary	36–26–9
March 14	Detroit	4 – 1	San Jose	37–26–9
March 16	Washington	4 – 2	Detroit	37–27–9
March 18	Minnesota	1 – 5	Detroit	38–27–9
March 20	Detroit	7 – 4	Boston	39–27–9
March 21	Detroit	6 – 2	Minnesota	40–27–9
March 23	NY Islanders	2 – 3	Detroit	41–27–9
March 27	Detroit	8 – 3	Tampa Bay	42–27–9
March 29	Los Angeles	9 – 3	Detroit	42–28–9
