Date	Venue	Result	Goals	Competition
14 March 2007	Hong Kong Stadium , Hong Kong	0–2	0	2008 Summer Olympics qualification
28 March 2007	Mong Kok Stadium , Hong Kong	0–1	0	2008 Summer Olympics qualification
18 April 2007	MPPJ Stadium , Petaling Jaya , Malaysia	1–0	0	2008 Summer Olympics qualification
16 May 2007	Hong Kong Stadium , Hong Kong	0–4	0	2008 Summer Olympics qualification
6 June 2007	Abbasiyyin Stadium , Damascus , Syria	1–4	0	2008 Summer Olympics qualification
4 December 2009	Siu Sai Wan Sports Ground , Hong Kong	4–1	0	2009 East Asian Games
8 December 2009	Siu Sai Wan Sports Ground , Hong Kong	0–1	0	2009 East Asian Games
10 December 2009	Hong Kong Stadium , Hong Kong	1–1 (4–2 PSO )	0	2009 East Asian Games
12 December 2009	Hong Kong Stadium , Hong Kong	1–1 (4–2 PSO )	0	2009 East Asian Games
2 November 2010	Siu Sai Wan Sports Ground , Hong Kong	0–4	0	Friendly
7 November 2010	Huadu Stadium , Guangzhou , China	1–1	0	2010 Asian Games
9 November 2010	Huadu Stadium , Guangzhou , China	1–0	0	2010 Asian Games
11 November 2010	Huadu Stadium , Guangzhou , China	4–1	0	2010 Asian Games
15 November 2010	Huangpu Sports Center , Guangzhou , China	0–3	0	2010 Asian Games
24 January 2010	So Kon Po Recreation Ground , Hong Kong	4–0	0	Friendly
26 January 2010	Sai Tso Wan Recreation Ground , Hong Kong	1–0	0	Friendly
3 June 2010	Xianghe Sports Center , Beijing , China	2–2	0	Friendly
9 June 2010	Xianghe Sports Center , Beijing , China	2–2	0	Friendly
12 June 2010	Xianghe Sports Center , Beijing , China	0–2	0	Friendly
19 June 2011	JAR Stadium , Tashkent , Uzbekistan	0–1	0	2012 AFC Men's Pre-Olympic Tournament
23 June 2011	Hong Kong Stadium , Hong Kong	0–2	0	2012 AFC Men's Pre-Olympic Tournament
