Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Columbus	4 – 3	Calgary	Norrena	19,289	12–10–4
December 3	Dallas	2 – 1	Columbus	Leclaire	12,233	12–10–5
December 5	Colorado	4 – 5	Columbus	Norrena	12,851	13–10–5
December 8	Minnesota	2 – 1	Columbus	Leclaire	15,666	13–11–5
December 10	Anaheim	4 – 3	Columbus	Leclaire	11,984	13–11–6
December 12	Colorado	1 – 4	Columbus	Norrena	13,150	14–11–6
December 15	Columbus	0 – 2	Boston	Norrena	14,058	14–12–6
December 18	Calgary	3 – 0	Columbus	Leclaire	13,181	14–13–6
December 21	Los Angeles	1 – 2	Columbus	LeClaire	14,034	15–13–6
December 23	Nashville	3 – 1	Columbus	Norrena	15,481	15–14–6
December 26	Atlanta	0 – 2	Columbus	LeClaire	15,726	16–14–6
December 27	Columbus	3 – 4	Nashville	Norrena	14,331	16–15–6
December 29	Carolina	1 – 4	Columbus	LeClaire	17,453	17–15–6
December 31	Edmonton	2 – 4	Columbus	LeClaire	16,774	18–15–6
