Draw	Artist	Song	Points	Place
1	Mitja	"Cas je da najdem te"	22	5
2	Tatjana Mihelj	"Dlan okrog srca"	1	17
3	Monika Tratnik	"Sanje"	3	16
4	Matjaz Zupan & Californija	"Tisoc kilometrov"	6	15
5	Kantor	"Drugacen dan"	7	13
6	Victory	"Le povejte ji"	18	9
7	Irena, Damjana & Sanja	"Igra je koncana"	22	5
8	Lara Baruca	"Ti si se bal"	22	5
9	Sound Attack	"Kje si zdaj"	10	11
10	Darja Švajger	"Se tisoc let"	64	1
11	Avia Band	"Ne izdajte me"	24	4
12	Nuša Derenda	"Nekaj lepega je v meni"	10	11
13	Nude	"Ši'z d bes"	7	13
14	Babilon	"Kot ocean"	11	10
15	Tinkara Kovac	"Zakaj"	62	2
16	Gianni Rijavec & Vladimir Cadez	"Ljubezen je le ena"	21	8
17	Jan Plestenjak	"Moja dezela"	38	3
