Song title	Artist	Decade	Genre	Release date ( Xbox360 )	Release date ( PlayStation3 )	Release date ( Wii )
" A Drug Against War "	KMFDM	1990s	Metal	Mar.4,2010	Nov.9,2010	Jan.4,2011
" Angel Lust "	Fake Shark – Real Zombie!	2000s	Alternative	Mar.4,2010	Mar.15,2011	No
"Another California Song"	Zack Wilson	2000s	Rock	Mar.4,2010	No	No
"Arigato"	Gandhi	2000s	Rock	Mar.4,2010	No	No
" Australia "	The Shins	2000s	Indie Rock	Mar.4,2010	Apr.22,2010	Oct.5,2010
"Backyard Buildyard"	Steve and Lindley Band	2000s	Indie Rock	Mar.4,2010	No	No
"Battles and Brotherhood"	3 Inches of Blood	2000s	Metal	Mar.4,2010	July6,2010	Nov.9,2010
"Buried Cold"	Rose of Jericho	2000s	Pop-Rock	Mar.4,2010	Mar.15,2011	No
"Burn It Down"	Five Finger Death Punch	2000s	Metal	Mar.4,2010	Apr.29,2010	Sep.21,2010
"California"	The Kimberly Trip	2000s	Pop-Rock	Mar.4,2010	No	No
"Can I Stay"	Stephanie Hatfield and Hot Mess	2000s	Rock	Mar.4,2010	June2,2011	No
"Cease and Desist"	The Main Drag	2000s	Indie Rock	Mar.4,2010	No	No
"Children of December"	The Slip	2000s	Rock	Mar.4,2010	Dec.14,2010	No
"Creepy Doll"	Jonathan Coulton	2000s	Rock	Mar.4,2010	June22,2010	Sep.28,2010
"Crushed Beyond Dust"	Skeletonwitch	2000s	Metal	Mar.4,2010	Aug.3,2010	Oct.5,2010
"Day of Mourning"	Despised Icon	2000s	Metal	Mar.4,2010	June15,2010	Oct.12,2010
" Disengage "	Suicide Silence	2000s	Metal	Mar.4,2010	June1,2010	Oct.19,2010
"Don't Let Me Down (Slowly)"	The Main Drag	2000s	Indie Rock	Mar.4,2010	June8,2010	Jan.11,2011
"Dove Nets"	The Main Drag	2000s	Indie Rock	Mar.4,2010	June2,2011	No
"Drunken Lullabies ( Live )"	Flogging Molly	2010s	Punk	Mar.4,2010	Apr.22,2010	Oct.5,2010
"End Quote"	Full-Source	2000s	New Wave	Mar.4,2010	No	No
" Even Rats "	The Slip	2000s	Rock	Mar.4,2010	Apr.22,2010	Oct.5,2010
"Fade Away"	Of Last Resort	2000s	Rock	Mar.4,2010	No	No
"Far Away from Heaven"	Free Spirit	2000s	Rock	Mar.4,2010	June3,2011	No
"Fight Back"	Ron Wasserman	2010s	Rock	Mar.4,2010	No	No
" For the Love of God ( Live )"	Steve Vai	2000s	Rock	Mar.4,2010	Apr.22,2010	Oct.5,2010
"Fortune"	Kristin Hersh	2010s	Indie Rock	Mar.4,2010	No	No
"Get the Hell Out of Here"	Steve Vai	2000s	Rock	Mar.4,2010	June1,2010	Oct.19,2010
" Give "	The Cold Goodnight	2000s	Alternative	Mar.4,2010	No	No
"Goth Girls"	MC Frontalot	2000s	Other	Mar.4,2010	July27,2010	Sep.28,2010
"Grumpytown"	Speck	2000s	Emo	Mar.4,2010	No	No
" He Sleeps in a Grove "	Amberian Dawn	2000s	Metal	Mar.4,2010	May18,2010	Sep.21,2010
" Heimdalsgate Like a Promethean Curse "	Of Montreal	2000s	Indie Rock	Mar.4,2010	June8,2010	Oct.26,2010
"Homosuperior"	The Main Drag	2000s	Indie Rock	Mar.4,2010	June2,2011	No
"Horses in Heaven"	Fake Shark – Real Zombie!	2000s	Alternative	Mar.4,2010	No	No
"How We'd Look on Paper"	The Main Drag	2000s	Indie Rock	Mar.4,2010	Oct.26,2010	Jan.18,2011
"Hyperbole"	Glass Hammer	2000s	Prog	Mar.4,2010	No	No
"Icarus' Song"	Furly	2000s	Rock	Mar.4,2010	Aug.10,2010	Nov.9,2010
"If Not Now When"	Color Theory	2000s	Other	Mar.4,2010	No	No
"If Trucks Drank Beer"	Error 404 feat. CJ Watson	2000s	Country	Mar.4,2010	No	No
"Ikea"	Jonathan Coulton	2000s	Rock	Mar.4,2010	June15,2010	Oct.12,2010
"In Memories"	Giant Target	2000s	Punk	Mar.4,2010	No	No
"Inside Out"	Nick Gallant	2000s	Alternative	Mar.4,2010	No	No
"It's Good"	The Humans	2000s	Rock	Mar.4,2010	No	No
"It's Not You, It's Everyone"	Full-Source	2000s	New Wave	Mar.4,2010	No	No
" Juke Joint Jezebel "	KMFDM	1990s	Metal	Mar.4,2010	May25,2010	Oct.19,2010
"Kick Some Ass '09"	Stroke 9	2010s	Rock	Mar.4,2010	June29,2010	Oct.26,2010
"Lady in a Blue Dress"	Senses Fail	2000s	Rock	Mar.4,2010	Apr.29,2010	Sep.21,2010
"Lemon Juice"	Scratching the Itch	2000s	Rock	Mar.4,2010	No	No
"Lilith in Libra"	You Shriek	2000s	New Wave	Mar.4,2010	No	No
"Limousine"	Stars of Boulevard	2000s	Rock	Mar.4,2010	No	No
"Liquid Smog (StompBox Remix)"	WaveGroup feat. Becca Neun	2000s	Rock	Mar.4,2010	No	No
"Little Black Backpack '09"	Stroke 9	2010s	Rock	Mar.4,2010	May4,2010	Sep.7,2010
"Liverpool Judies"	The Fisticuffs	2000s	Punk	Mar.4,2010	No	No
"Love During Wartime"	The Main Drag	2000s	Indie Rock	Mar.4,2010	Apr.12,2011	No
"Mechanical Love"	In This Moment	2000s	Metal	Mar.4,2010	June8,2010	Oct.26,2010
"Megatron"	The Main Drag	2000s	Indie Rock	Mar.4,2010	June2,2011	No
"Mississippi Kite"	Kristin Hersh	2010s	Indie Rock	Mar.4,2010	No	No
"Moonboy"	The Dirty Love Band	2010s	Rock	Mar.4,2010	No	No
"Nancy Drew"	Pink Flag	2000s	Punk	Mar.4,2010	No	No
"No Direction"	Longwave	2000s	Alternative	Mar.4,2010	Feb.8,2011	No
"No Heroes"	You Shriek	2010s	New Wave	Mar.4,2010	No	No
"Not My Fault"	Ultra Saturday	2010s	Punk	Mar.4,2010	No	No
"Ox"	Zack Wilson	2010s	Rock	Mar.4,2010	No	No
"Paper Valentines"	James William Roy	2010s	Indie Rock	Mar.4,2010	No	No
"Parhelia"	Heaven Ablaze	2000s	Metal	Mar.4,2010	Oct.12,2010	Nov.23,2010
"Persistence of Vision"	Matter in the Medium	2000s	Prog	Mar.4,2010	June2,2011	No
"Race The Hourglass"	Audio Fiction	2000s	Rock	Mar.4,2010	No	No
"Red Sky At Morn"	Full-Source	2000s	Other	Mar.4,2010	No	No
"Requiem for a Dying Song"	Flogging Molly	2000s	Punk	Mar.4,2010	June22,2010	Sep.28,2010
"Rip'er"	Lead the Dead	2000s	Metal	Mar.4,2010	Oct.26,2010	Dec.21,2010
" River of Tuoni "	Amberian Dawn	2000s	Metal	Mar.4,2010	July27,2010	Sep.28,2010
"Running for the Razors"	Fake Shark – Real Zombie!	2000s	Alternative	Mar.4,2010	No	No
"Rx"	Wounded Soul	2000s	Metal	Mar.4,2010	Nov.30,2010	Jan.18,2011
"Sequestered in Memphis"	The Hold Steady	2000s	Indie Rock	Mar.4,2010	May18,2010	Sep.21,2010
"Sestri Levante"	Fake Shark – Real Zombie!	2000s	Alternative	Mar.4,2010	No	No
"Sick"	Bif Naked	2000s	Rock	Mar.4,2010	June29,2010	Oct.26,2010
"Signs"	Giant Target	2000s	Punk	Mar.4,2010	No	No
"Sissyfuss"	Surprise Me Mr. Davis	2000s	Rock	Mar.4,2010	No	No
"Sleep On"	Glass Hammer	2000s	Prog	Mar.4,2010	No	No
" Stand for Something "	Skindred	2000s	Metal	Mar.4,2010	July20,2010	Nov.2,2010
"Still There"	Bojibian	2000s	Indie Rock	Mar.4,2010	No	No
"Superhero!"	Ultra Saturday	2000s	Punk	Mar.4,2010	No	No
"Survive"	Lacuna Coil	2000s	Metal	Mar.4,2010	May4,2010	Sep.7,2010
"Tadpole Search and Rescue"	Chaunce DeLeon and The Fountain of Choof	2000s	Alternative	Mar.4,2010	June2,2011	No
"Talk About"	Dear and the Headlights	2000s	Indie Rock	Mar.4,2010	May18,2010	Sep.21,2010
"Talk Them Down"	The Main Drag	2000s	Indie Rock	Mar.4,2010	June2,2011	No
"Teeth, Face, Outerspace"	The Main Drag	2000s	Indie Rock	Mar.4,2010	June2,2011	No
" The Attitude Song "	Steve Vai	1980s	Rock	Mar.4,2010	June15,2010	Oct.12,2010
" The Buddy Disease "	Scratching the Itch	2000s	Rock	Mar.4,2010	No	No
" The Complexity of Light "	Children of Nova	2000s	Prog	Mar.4,2010	May25,2010	Oct.19,2010
" The Future Soon "	Jonathan Coulton	2000s	Rock	Mar.4,2010	June1,2010	No
" The Heist "	DnA's Evolution	2000s	Rock	Mar.4,2010	No	No
"Tongue Twister Typo"	Blackmarket	2010s	Alternative	Mar.4,2010	May12,2010	Sep.14,2010
"Top Back"	Alias Unknown	2000s	Urban	Mar.4,2010	July13,2010	Nov.16,2010
"Tricky Girl"	The Main Drag	2000s	Indie Rock	Mar.4,2010	June2,2011	No
