Member	Party	Electorate	State	Term in office
Hon Evan Adermann	National	Fairfax	Qld	1972–1990
Ken Aldred [2 ]	Liberal	Bruce	Vic	1975–1980, 1983–1996
Neil Andrew	Liberal	Wakefield	SA	1983–2004
Rt Hon Doug Anthony [6 ]	National	Richmond	NSW	1957–1984
Peter Baldwin	Labor	Sydney	NSW	1983–1998
Hon Kim Beazley	Labor	Swan	WA	1980–2007
David Beddall	Labor	Fadden	Qld	1983–1998
Gordon Bilney	Labor	Kingston	SA	1983–1996
Allen Blanchard	Labor	Moore	WA	1983–1990
Dr Neal Blewett	Labor	Bonython	SA	1977–1994
Charles Blunt [6 ]	National	Richmond	NSW	1984–1990
Hon Lionel Bowen	Labor	Kingsford-Smith	NSW	1969–1990
Ray Braithwaite	National	Dawson	Qld	1975–1996
Bob Brown	Labor	Hunter	NSW	1980–1998
John Brown	Labor	Parramatta	NSW	1977–1990
John Brumby	Labor	Bendigo	Vic	1983–1990
Max Burr	Liberal	Wilmot	Tas	1975–1993
Alan Cadman	Liberal	Mitchell	NSW	1974–2007
Ewen Cameron	Liberal	Indi	Vic	1977–1993
Donald Cameron [3 ]	Liberal	Moreton	Qld	1966–1983, 1983–1990
Ian Cameron	National	Maranoa	Qld	1980–1990
Graeme Campbell	Labor	Kalgoorlie	WA	1980–1998
Hon Jim Carlton	Liberal	Mackellar	NSW	1977–1994
David Charles	Labor	Isaacs	Vic	1980–1990
Dr Ric Charlesworth	Labor	Perth	WA	1983–1993
Joan Child	Labor	Henty	Vic	1974–1975, 1980–1990
Bob Chynoweth	Labor	Flinders	Vic	1983–1990, 1993–1996
Barry Cohen	Labor	Robertson	NSW	1969–1990
Peter Coleman	Liberal	Wentworth	NSW	1981–1987
David Connolly	Liberal	Bradfield	NSW	1974–1996
Bruce Cowan	National	Lyne	NSW	1980–1993
Manfred Cross	Labor	Brisbane	Qld	1961–1975, 1980–1990
Barry Cunningham	Labor	McMillan	Vic	1980–1990, 1993–1996
Elaine Darling	Labor	Lilley	Qld	1980–1993
John Dawkins	Labor	Fremantle	WA	1974–1975, 1977–1994
Hon Don Dobie	Liberal	Cook	NSW	1966–1972, 1975–1998
Peter Drummond	Liberal	Forrest	WA	1972–1987
Michael Duffy	Labor	Holt	Vic	1980–1996
Dr Harry Edwards	Liberal	Berowra	NSW	1972–1993
Ron Edwards	Labor	Stirling	WA	1983–1993
Hon Dr Douglas Everingham	Labor	Capricornia	Qld	1967–1975, 1977–1984
Wendy Fatin	Labor	Brand	WA	1983–1996
Hon Wal Fife	Liberal	Farrer	NSW	1975–1993
Peter Fisher	National	Mallee	Vic	1972–1993
Rt Hon Malcolm Fraser [1 ]	Liberal	Wannon	Vic	1955–1983
Ross Free	Labor	Macquarie	NSW	1980–1996
Ken Fry	Labor	Fraser	ACT	1980–1984
John Gayler	Labor	Leichhardt	Qld	1983–1993
George Gear	Labor	Tangney	WA	1983–1996
Bruce Goodluck	Liberal	Franklin	Tas	1975–1993
Russ Gorman	Labor	Chifley	NSW	1983–1996
Alan Griffiths	Labor	Maribyrnong	Vic	1983–1996
Hon Ray Groom	Liberal	Braddon	Tas	1975–1984
Steele Hall	Liberal	Boothby	SA	1981–1996
Gerry Hand	Labor	Melbourne	Vic	1983–1993
Hon Bob Hawke	Labor	Wills	Vic	1980–1992
David Hawker [1 ]	Liberal	Wannon	Vic	1983–2010
Hon Bill Hayden	Labor	Oxley	Qld	1961–1988
Noel Hicks	National	Riverina	NSW	1980–1998
