Constructor	Chassis	Engine	Tyre	Driver	Rounds
Lotus - Ford	72E 76	Ford Cosworth DFV 3.0 V8	G	Ronnie Peterson	All
Lotus - Ford	72E 76	Ford Cosworth DFV 3.0 V8	G	Jacky Ickx	All
Lotus - Ford	72E 76	Ford Cosworth DFV 3.0 V8	G	Tim Schenken	15
Tyrrell - Ford	005 006 007	Ford Cosworth DFV 3.0 V8	G	Jody Scheckter	All
Tyrrell - Ford	005 006 007	Ford Cosworth DFV 3.0 V8	G	Patrick Depailler	All
McLaren - Ford	M23	Ford Cosworth DFV 3.0 V8	G	Emerson Fittipaldi	All
McLaren - Ford	M23	Ford Cosworth DFV 3.0 V8	G	Denny Hulme	All
McLaren - Ford	M23	Ford Cosworth DFV 3.0 V8	G	Mike Hailwood	1-11
McLaren - Ford	M23	Ford Cosworth DFV 3.0 V8	G	David Hobbs	12-13
McLaren - Ford	M23	Ford Cosworth DFV 3.0 V8	G	Jochen Mass	14-15
Brabham - Ford	BT42 BT44	Ford Cosworth DFV 3.0 V8	G	Carlos Reutemann	All
Brabham - Ford	BT42 BT44	Ford Cosworth DFV 3.0 V8	G	Richard Robarts	1-3
Brabham - Ford	BT42 BT44	Ford Cosworth DFV 3.0 V8	G	Rikky von Opel	4-9
Brabham - Ford	BT42 BT44	Ford Cosworth DFV 3.0 V8	G	Carlos Pace	10-15
Brabham - Ford	BT42 BT44	Ford Cosworth DFV 3.0 V8	G	Teddy Pilette	5
March - Ford	741	Ford Cosworth DFV 3.0 V8	G	Hans-Joachim Stuck	1-6, 8-15
March - Ford	741	Ford Cosworth DFV 3.0 V8	G	Reine Wisell	7
March - Ford	741	Ford Cosworth DFV 3.0 V8	G	Howden Ganley	1-2
March - Ford	741	Ford Cosworth DFV 3.0 V8	G	Vittorio Brambilla	3-15
Ferrari	312B3	Ferrari 001/11 3.0 F12	G	Clay Regazzoni	All
Ferrari	312B3	Ferrari 001/11 3.0 F12	G	Niki Lauda	All
BRM	P160E P201	BRM P142 3.0 V12	F	Jean-Pierre Beltoise	All
BRM	P160E P201	BRM P142 3.0 V12	F	Henri Pescarolo	1-11, 13
BRM	P160E P201	BRM P142 3.0 V12	F	Chris Amon	14-15
BRM	P160E P201	BRM P142 3.0 V12	F	François Migault	1-6, 8-11, 13
Shadow - Ford	DN1 DN3	Ford Cosworth DFV 3.0 V8	G	Peter Revson	1-2
Shadow - Ford	DN1 DN3	Ford Cosworth DFV 3.0 V8	G	Brian Redman	4-6
Shadow - Ford	DN1 DN3	Ford Cosworth DFV 3.0 V8	G	Bertil Roos	7
Shadow - Ford	DN1 DN3	Ford Cosworth DFV 3.0 V8	G	Tom Pryce	8-15
Shadow - Ford	DN1 DN3	Ford Cosworth DFV 3.0 V8	G	Jean-Pierre Jarier	1-2, 4-15
Surtees - Ford	TS16	Ford Cosworth DFV 3.0 V8	F	Carlos Pace	1-7
Surtees - Ford	TS16	Ford Cosworth DFV 3.0 V8	F	José Dolhem	9, 15
Surtees - Ford	TS16	Ford Cosworth DFV 3.0 V8	F	Derek Bell	10-14
Surtees - Ford	TS16	Ford Cosworth DFV 3.0 V8	F	Jochen Mass	1-11
Surtees - Ford	TS16	Ford Cosworth DFV 3.0 V8	F	Jean-Pierre Jabouille	12
Surtees - Ford	TS16	Ford Cosworth DFV 3.0 V8	F	José Dolhem	13
Surtees - Ford	TS16	Ford Cosworth DFV 3.0 V8	F	Helmuth Koinigg	14-15
Surtees - Ford	TS16	Ford Cosworth DFV 3.0 V8	F	Dieter Quester	12
Iso-Marlboro - Ford	FW	Ford Cosworth DFV 3.0 V8	F	Arturo Merzario	All
Iso-Marlboro - Ford	FW	Ford Cosworth DFV 3.0 V8	F	Tom Belsø	3-4, 7, 10
Iso-Marlboro - Ford	FW	Ford Cosworth DFV 3.0 V8	F	Gijs van Lennep	5, 8
Iso-Marlboro - Ford	FW	Ford Cosworth DFV 3.0 V8	F	Jean-Pierre Jabouille	9
