Japanese Title	Romaji Title	TV Station	Episodes	Average Ratings
サプリ	Sapuri	Fuji TV	11	14.2%
不信のとき～ウーマン・ウォーズ～	Fushin no Toki ~Woman Wars~	Fuji TV	12	12.9%
結婚できない男	Kekkon Dekinai Otoko	Fuji TV	12	17.1%
ダンドリ。～Dance☆Drill～	DanDori.~Dance☆Drill~	Fuji TV	11	8.9%
誰よりもママを愛す	Dare Yorimo Mama wo Ai su	TBS	11	10.4%
花嫁は厄年ッ!	Hanayome wa Yakudoshi!	TBS	12	12.0%
タイヨウのうた	Taiyou no Uta	TBS	10	10.3%
レガッタ～君といた永遠～	Regatta~Kimi to Ita Eien~	TV-Asahi	9	5.4%
下北サンデーズ	Shimokita Sundays	TV-Asahi	9	7.3%
CAとお呼びっ!	CA to Oyobbi!	NTV	11	9.5%
マイ☆ボス マイ☆ヒーロー	MY☆BOSS MY☆HERO	NTV	10	18.9%
