Rider	Years active	Races	Wins	2nd pl.	3rd pl.	Titles.
Norick Abe	2005-2006	47	0	0	0	0
James Adamo	1989-1991	6	0	0	0	0
Mashel Al Naimi	2007	2	0	0	0	0
Talal Al Naimi	2005-2006	4	0	0	0	0
Lorenzo Alfonsi	2005-2006	21	0	0	0	0
Daniel Amatriain	1990-1993	80	0	0	1	0
Anders Andersson	1988-1990	61	0	0	0	0
Simon Andrews	2009-2010	2	0	0	0	0
Igor Antonelli	2000	16	0	0	0	0
Alessandro Antonello	1999-2002	54	0	0	0	0
Haruchika Aoki	2000	16	0	0	0	0
Takuma Aoki	1994-1996	6	1	0	0	0
Shuja Arai	2001	2	0	0	0	0
Toshiyuki Arakaki	1993	6	0	0	0	0
Tetsuro Arata	1989	4	0	0	0	0
Benn Archibald	1992-93, 1995-97	9	0	0	0	0
Richard Arnaiz	1989, 1992	12	0	0	0	0
Nigel Arnold	2001	2	0	0	0	0
Kim Ashkenazi	2001	2	0	0	0	0
John Ashmead	1990	1	0	0	0	0
Redamo Assirelli	1997-2000,2002	10	0	0	0	0
