Year	Competition	Venue	Position	Notes
2000	European Race Walking Cup	Eisenhüttenstadt , Germany	42nd	20 km
2001	European Race Walking Cup	Dudince , Slovakia	25th	20 km
2001	World Championships	Edmonton, Canada	DSQ	20 km
2002	European Championships	Munich, Germany	15th	20 km
2004	Olympic Games	Athens, Greece	25th	20 km
2005	World Championships	Helsinki, Finland	27th	20 km
2006	European Championships	Gothenburg , Sweden	12th	20km
2006	World Race Walking Cup	La Coruña , Spain	13th	20km
2007	World Championships	Osaka , Japan	7th	20 km
2008	World Race Walking Cup	Cheboksary , Russia	19th	20km
2009	European Race Walking Cup	Metz, France	DSQ	20km
2009	World Championships	Berlin, Germany	11th	20 km
2010	Ibero-American Championships	San Fernando, Spain	3rd	10 km
2010	European Championships	Barcelona , Spain	9th	20 km
2011	World Championships	Daegu , South Korea	10th	20 kilometres walk
2012	Olympic Games	London, Great Britain	15th	20 km
