City	Country	IATA	ICAO	Airport
Bangui	Central African Republic	BGF	FEFF	Bangui M'Poko International Airport
Beijing	China	PEK	ZBAA	Beijing Capital International Airport
Benguela	Angola	BUG	FNBG	Benguela Airport #
Berlin	Germany	SXF	EDDB	Berlin Schönefeld Airport #
Brazzaville	Republic of the Congo	BZV	FCBB	Maya-Maya Airport
Cabinda	Angola	CAB	FNCA	Cabinda Airport
Cape Town	South Africa	CPT	FACT	Cape Town International Airport
Catumbela	Angola	CBT	FNCT	Catumbela Airport
Douala	Cameroon	DLA	FKKD	Douala International Airport
Dubai	United Arab Emirates	DXB	OMDB	Dubai International Airport
Dundo	Angola	DUE	FNDU	Dundo Airport #
Harare	Zimbabwe	HRE	FVHA	Harare International Airport
Havana	Cuba	HAV	MUHA	José Martí International Airport
Huambo	Angola	NOV	FNHU	Albano Machado Airport
Johannesburg	South Africa	JNB	FAJS	OR Tambo International Airport
Kinshasa	Democratic Republic of the Congo	FIH	FZAA	N'djili Airport #
Kuito	Angola	SVP	FNKU	Kuito Airport
Lisbon	Portugal	LIS	LPPT	Lisbon Portela Airport
Luanda	Angola	LAD	FNLU	Quatro de Fevereiro Airport †
Lubango	Angola	SDD	FNUB	Lubango Airport
Luena	Angola	LUO	FNUE	Luena Airport
Lusaka	Zambia	LUN	FLLS	Lusaka International Airport
Malanje	Angola	MEG	FNMA	Malanje Airport
Maputo	Mozambique	MPM	FQMA	Maputo International Airport #
Mbanza Congo	Angola	SSY	FNBC	Mbanza Congo Airport #
Menongue	Angola	SPP	FNME	Menongue Airport
Moscow	Russia	SVO	UUEE	Sheremetyevo International Airport #
Namibe	Angola	MSZ	FNMO	Namibe Airport
Negage	Angola	GXG	FNNG	Negage Airport #
Ondjiva	Angola	NGV	FNGI	Ondjiva Pereira Airport
Paris	France	CDG	LFPG	Charles de Gaulle Airport #
Pointe Noire Airport	Republic of the Congo	PNR	FCPP	Pointe Noire Airport #
Porto	Portugal	OPO	LPPR	Francisco de Sá Carneiro Airport
Praia	Cape Verde	RAI	GVNP	Praia International Airport
Rio de Janeiro	Brazil	GIG	SBGL	Galeão International Airport
Rome	Italy	FCO	LIRF	Leonardo da Vinci-Fiumicino Airport #
Sal	Cape Verde	SID	GVAC	Amílcar Cabral International Airport #
São Paulo	Brazil	GRU	SBGR	São Paulo–Guarulhos International Airport
Saurimo	Angola	VHC	FNSA	Saurimo Airport
Soyo	Angola	SZA	FNSO	Soyo Airport
São Tomé	São Tomé and Príncipe	TMS	FPST	São Tomé International Airport
Windhoek	Namibia	WDH	FYWH	Windhoek Hosea Kutako International Airport
