Name	Years	Gender	Local board	Suburb	Authority	Decile	Roll
ACG New Zealand International College	9–13	Coed	Waitemata	Auckland CBD	Private	7	658
ACG Senior College	11–13	Coed	Waitemata	Auckland CBD	Private	10	277
Albany Junior High School	7–10	Coed	Upper Harbour	North Harbour	State	10	1142
Albany Senior High School	11–13	Coed	Upper Harbour	Albany	State	10	711
Alfriston College	9–13	Coed	Manurewa	Manurewa	State	3	1348
Ambury Park Centre for Riding Therapy	9–13	Coed	Mangere–Otahuhu	Mangere Bridge	Private	n/a	40
Aorere College	9–13	Coed	Otara–Papatoetoe	Papatoetoe	State	2	1481
Auckland Girls' Grammar School	9–13	Girls	Waitemata	Newton	State	5	1396
Auckland Grammar School	9–13	Boys	Albert–Eden	Epsom	State	10	2545
Auckland International College	9–13	Coed	Whau	Blockhouse Bay	Private	9	327
Auckland Seventh-Day Adventist High School	9–13	Coed	Mangere–Otahuhu	Mangere Bridge	Integrated	2	193
Avondale College	9–13	Coed	Whau	Avondale	State	4	2696
Baradene College of the Sacred Heart	7–13	Girls	Orakei	Remuera	Integrated	9	1062
Birkenhead College	9–13	Coed	Kaipatiki	Birkdale	State	6	720
Botany Downs Secondary College	9–13	Coed	Howick	Botany Downs	State	10	1847
Carmel College	7–13	Girls	Devonport–Takapuna	Milford	Integrated	10	1047
City Impact Church School (Secondary)	9–13	Coed	Upper Harbour	Pinehill	Private	n/a	35
De La Salle College	7–13	Boys	Otara–Papatoetoe	Mangere East	Integrated	2	970
Edgewater College	9–13	Coed	Howick	Pakuranga	State	4	786
Epsom Girls' Grammar School	9–13	Girls	Albert–Eden	Epsom	State	9	2194
Glendowie College	9–13	Coed	Orakei	Glendowie	State	9	1059
Glenfield College	9–13	Coed	Kaipatiki	Glenfield	State	7	743
Green Bay High School	9–13	Coed	Whau	Green Bay	State	8	1360
Hato Petera College	9–13	Coed	Kaipatiki	Northcote Central	Integrated	2	110
Henderson High School	9–13	Coed	Henderson–Massey	Henderson	State	4	607
Howick College	9–13	Coed	Howick	Howick	State	10	1894
James Cook High School	9–13	Coed	Manurewa	Manurewa	State	1	1378
Kaipara College	9–13	Coed	Rodney	Helensville	State	7	576
Kelston Boys' High School	9–13	Boys	Whau	Kelston	State	4	913
