Date	Tournament	Surface	Opponent in Final	Score in Final
21 April 1986	Nice, France	Clay	Paul McNamee	6–1, 6–3
12 May 1986	Munich, West Germany	Clay	Ricki Osterthun	6–1, 6–3
28 July 1986	Båstad, Sweden	Clay	Mats Wilander	7–6(5), 4–6, 6–4
13 July 1987	Gstaad, Switzerland	Clay	Ronald Agénor	6–2, 6–3, 7–6(5)
20 July 1987	Bordeaux, France	Clay	Ronald Agénor	5–7, 6–4, 6–4
10 August 1987	Kitzbühel, Austria	Clay	Miloslav Mečíř	6–4, 6–1, 4–6, 6–1
21 September 1987	Madrid, Spain	Clay	Javier Sánchez	6–3, 3–6, 6–2
1 August 1988	Hilversum, Netherlands	Clay	Guillermo Pérez-Roldán	6–3, 6–1, 3–6, 6–3
7 August 1989	Kitzbühel, Austria	Clay	Martín Jaite	7–6(1), 6–1, 2–6, 6–2
8 January 1990	Wellington, New Zealand	Hard	Richey Reneberg	6–7(3), 6–4, 4–6, 6–4, 6–1
9 April 1990	Estoril, Portugal	Clay	Franco Davín	6–3, 6–1
15 April 1991	Barcelona, Spain	Clay	Sergi Bruguera	6–4, 7–6(7), 6–2
20 May 1991	Rome, Italy	Clay	Alberto Mancini	6–3, 6–1, 3–0, ret.
15 July 1991	Gstaad, Switzerland	Clay	Sergi Bruguera	6–1, 6–4, 6–4
13 January 1992	Sydney Outdoor, Australia	Hard	Guy Forget	6–3, 6–4
