Season	RL Süd (1st)	RL Süd (2nd)	RL Südwest (1st)	RL Südwest (2nd)
1963–64	Hessen Kassel	FC Bayern Munich	Borussia Neunkirchen	FK Pirmasens
1964–65	FC Bayern Munich	SSV Reutlingen	1. FC Saarbrücken	Wormatia Worms
1965–66	FC Schweinfurt 05	Kickers Offenbach	FK Pirmasens	1. FC Saarbrücken
1966–67	Kickers Offenbach	FC Bayern Hof	Borussia Neunkirchen	1. FC Saarbrücken
1967–68	FC Bayern Hof	Kickers Offenbach	SV Alsenborn	TuS Neuendorf
1968–69	Karlsruher SC	Freiburger FC	SV Alsenborn	TuS Neuendorf
1969–70	Kickers Offenbach	Karlsruher SC	SV Alsenborn	FK Pirmasens
1970–71	1. FC Nuremberg	Karlsruher SC	Borussia Neunkirchen	FK Pirmasens
1971–72	Kickers Offenbach	FC Bayern Hof	Borussia Neunkirchen	SV Röchling Völklingen
1972–73	SV Darmstadt 98	Karlsruher SC	FSV Mainz 05	SV Röchling Völklingen
