Year	Team	Co-Drivers	Class	Laps	Pos.	Class Pos.
1983	Canon Racing GTi Engineering	Jonathan Palmer Richard Lloyd	C	339	8th	8th
1984	GTi Engineering	Jonathan Palmer	C1	239	DNF	DNF
1987	Silk Cut Jaguar Tom Walkinshaw Racing	Eddie Cheever Raul Boesel	C1	325	5th	5th
1988	Silk Cut Jaguar Tom Walkinshaw Racing	Johnny Dumfries Andy Wallace	C1	394	1st	1st
1989	Silk Cut Jaguar Tom Walkinshaw Racing	Patrick Tambay Andrew Gilbert-Scott	C1	380	4th	4th
1990	Silk Cut Jaguar Tom Walkinshaw Racing	Andy Wallace Franz Konrad	C1	355	2nd	2nd
1992	Toyota Team Tom's	Andy Wallace Teo Fabi	C1	331	8th	5th
1993	Toyota Team Tom's	Geoff Lees Juan Manuel Fangio II	C1	353	8th	5th
1996	Courage Compétition	Mario Andretti Derek Warwick	LMP1	315	13th	3rd
1997	GT1 Lotus Racing	Mike Hezemans Alexander Grau	GT1	121	DNF	DNF
1998	Nissan Motorsports TWR	Érik Comas Andrea Montermini	GT1	342	6th	6th
1999	Konrad Motorsport Talkline Racing for Holland	Peter Kox Tom Coronel	LMP	213	DNF	DNF
2000	Konrad Motorsport Racing for Holland	Tom Coronel Peter Kox	LMP900	38	DNF	DNF
2001	Racing for Holland	Donny Crevels Val Hillebrand	LMP900	156	DNF	DNF
2002	Racing for Holland	Tom Coronel Val Hillebrand	LMP900	351	9th	8th
2003	Racing for Holland	John Bosch Andy Wallace	LMP900	360	6th	4th
2004	Racing for Holland	Chris Dyson Katsutomo Kaneishi	LMP1	341	7th	6th
2005	Racing for Holland	Elton Julian John Bosch	LMP1	346	7th	5th
2006	Racing for Holland	Alex Yoong Stefan Johansson	LMP1	182	DNF	DNF
2007	Racing for Holland	Jeroen Bleekemolen David Hart	LMP1	305	25th	8th
2008	Charouz Racing System Team Cytosport	Greg Pickett Klaus Graf	LMP1	146	DNF	DNF
2011	Hope Racing	Steve Zacchia Casper Elgaard	LMP1	115	DNF	DNF
