Date	Visitor	Score	Home	Decision	Attendance	Record
March 1	Los Angeles	2 – 5	Colorado	Cloutier	18,007	26–36–4
March 2	Los Angeles	1 – 2	Minnesota	Ersberg	18,568	26–36–5
March 4	Los Angeles	2 – 3	St. Louis	Ersberg	14,973	26–37–5
March 6	Ottawa	0 – 2	Los Angeles	Ersberg	17,580	27–37–5
March 8	Montreal	5 – 2	Los Angeles	Ersberg	18,118	27–38–5
March 10	Vancouver	2 – 1	Los Angeles	Cloutier	14,653	27–38–6
March 13	Los Angeles	4 – 1	Nashville	Ersberg	15,853	28–38–6
March 15	Los Angeles	0 – 2	Minnesota	Ersberg	18,568	28–39–6
March 18	San Jose	2 – 1	Los Angeles	Cloutier	16,784	28–40–6
March 20	Los Angeles	6 – 5	Phoenix	Ersberg	14,852	29–40–6
March 22	Los Angeles	4 – 2	Dallas	Ersberg	18,532	30–40–6
March 26	Los Angeles	1 – 2	Anaheim	Ersberg	17,331	30–40–7
March 27	Phoenix	0 – 4	Los Angeles	Ersberg	17,331	31–40–7
March 29	Dallas	7 – 2	Los Angeles	Ersberg	17,849	31–41–7
