Station Number	District	Location	Type	Appliances	Registrations
C14	Peterborough	Dogsthorpe	Wholetime	1 WrL, 1 TL, 1 RV	KX13 EZJ, T837 RFL, T838 RFL
C15	Peterborough	Peterborough RV	Retained	1 WrL	KX58 LWN
C16	Peterborough	Stanground	Wholetime	1 Multistar 1+ (CARA)	KX09 JHA
C17	Huntingdonshire	Yaxley	Retained	1 WrL, 1 WT	AF02 XTL, AF52 VMM
C18	Fenland	Whittlesey	Retained	1 WrL	AE06 PFU
C19	Peterborough	Thorney	Retained	1 WrL	AE06 PFO
C20	Fenland	Wisbech	Day Crewed	2 WrL	KX60 AYM, KX59 JHO
C21	Fenland	March	Retained	2 WrL	KX53 FJZ, Y992 WFL
C22	Fenland	Manea	Retained	1 WrL	S47 BCE
C23	Fenland	Chatteris	Retained	1 WrL	KP54 CWY
C24	Huntingdonshire	Ramsey	Retained	2 WrL	AE03 OUU, Y991 WFL
C25	Huntingdonshire	Sawtry	Retained	1 WrL	AE03 OUS
C26	Huntingdonshire	Kimbolton	Retained	1 WrL	AF02 XTJ
C27	Huntingdonshire	Huntingdon	Wholetime	2 WrL, 1 RV, 1 CU	KX13 EZG, KX11 HYW, Y724 WVA, R615 TAV
C28	Huntingdonshire	St Ives, Cambridgeshire	Retained	2 WrL	AF02 XTK, S49 BCE
C01	Cambridge	Cambridge	Wholetime	1 WrL, 1 Multistar 1+ (CARA), 1 TL, 1 RV	KX13 EZH, KX59 EWO, V879 UEW, AF51 DWL
C02	South Cambridgeshire	Cottenham	Retained	1 WrL	AE03 OUP
C03	East Cambridgeshire	Sutton	Retained	1 WrL	S48 BCE
C04	East Cambridgeshire	Littleport	Retained	1 WrL	R863 EFL
C05	East Cambridgeshire	Ely	Day Crewed	2 WrL	KX13 EZL, KP54 CWX
C06	East Cambridgeshire	Soham	Retained	2 WrL	P153 GFL, P151 GFL
C07	East Cambridgeshire	Burwell	Retained	1 WrL	T905 WVA
C08	East Cambridgeshire	Swaffham Bulbeck	Retained	1 WrL	N490 SAV
C09	South Cambridgeshire	Linton	Retained	1 WrL	T906 WVA
C10	South Cambridgeshire	Sawston	Retained	1 WrL	AE06 PFV
C11	South Cambridgeshire	Gamlingay	Retained	1 WrL	KX53 FJY
C12	South Cambridgeshire	Papworth Everard	Retained	1 WrL	KX60 AYN
C13	Huntingdonshire	St Neots	Day Crewed	2 WrL, 1 IRU/HMU	KX13 EZM, KX59 JHU, DG53 FZL
