Place	Player	Country	Score	To par
1	Tiger Woods	United States	65-69-71=205	–8
2	Ernie Els	South Africa	74-73-68=215	+2
T3	Pádraig Harrington	Ireland	73-71-72=216	+3
T3	Miguel Ángel Jiménez	Spain	66-74-76=216	+3
T5	Phil Mickelson	United States	71-73-73=217	+4
T5	José María Olazábal	Spain	70-71-76=217	+4
T7	John Huston	United States	67-75-76=218	+5
T7	Lee Westwood	England	71-71-76=218	+5
T9	Michael Campbell	New Zealand	71-77-71=219	+6
T9	Nick Faldo	England	69-74-76=219	+6
T9	Loren Roberts	United States	68-78-73=219	+6
