Year	Team	Co-Drivers	Class	Laps	Pos.
1997	Roock Racing	Stéphane Ortelli Karl Wendlinger	GT1	8	DNF
1998	Porsche AG	Laurent Aïello Stéphane Ortelli	GT1	351	1st
1999	Toyota Motorsports Toyota Team Europe	Thierry Boutsen Ralf Kelleners	LMGTP	173	DNF
2000	Audi Sport Team Joest	Laurent Aïello Stéphane Ortelli	LMP900	367	2nd
2004	Audi Sport UK Team Veloqx	Frank Biela Pierre Kaffer	LMP1	350	5th
2005	ADT Champion Racing	Frank Biela Emanuele Pirro	LMP1	364	3rd
2006	Audi Sport Team Joest	Tom Kristensen Rinaldo Capello	LMP1	367	3rd
2007	Audi Sport North America	Tom Kristensen Rinaldo Capello	LMP1	262	DNF
2008	Audi Sport North America	Tom Kristensen Rinaldo Capello	LMP1	381	1st
2009	Audi Sport Team Joest	Tom Kristensen Rinaldo Capello	LMP1	376	3rd
2010	Audi Sport Team Joest	Tom Kristensen Rinaldo Capello	LMP1	394	3rd
2011	Audi Sport North America	Tom Kristensen Rinaldo Capello	LMP1	14	DNF
2012	Audi Sport Team Joest	Tom Kristensen Rinaldo Capello	LMP1	377	2nd
2013	Audi Sport Team Joest	Tom Kristensen Loïc Duval	LMP1	348	1st
