Track	Recorded	Catalogue	Release Date	Song Title	Time
1.	7/18/53	2227-2	1990	My Happiness *	2:31
2.	7/5/54	Sun 209	7/19/54	That's All Right	1:55
3.	7/5/54	LPM 1254	3/23/56	I Love You Because	2:42
4.	7/5/54	CPL1 1349	1/8/76	Harbor Lights	2:35
5.	7/5/54	Sun 209b	7/19/54	Blue Moon of Kentucky	2:02
6.	8/19/54	LPM 1254	3/23/56	Blue Moon	2:31
7.	9/10/54	LSP 3450	8/10/65	Tomorrow Night +	2:58
8.	9/10/54	LPM 1254	3/23/56	I'll Never Let You Go (Lil' Darlin')	2:24
9.	9/10/54	Sun 210b	3/5/55	I Don't Care If the Sun Don't Shine	2:27
10.	9/10/54	LPM 1254	3/23/56	Just Because	2:32
11.	9/10/54	Sun 210	9/25/54	Good Rockin' Tonight	2:12
12.	11/12/54	Sun 215	12/28/54	Milkcow Blues Boogie	2:38
13.	11/12/54	Sun 215b	12/28/54	You're a Heartbreaker	2:12
14.	2/5/55	Sun 217	4/10/55	Baby Let's Play House	2:15
15.	3/5/55	Sun 217b	4/10/55	I'm Left, You're Right, She's Gone	2:36
16.	7/11/55	Sun 223b	8/6/55	Mystery Train	2:24
17.	7/11/55	Sun 223b	8/6/55	I Forgot to Remember to Forget	2:28
18.	7/11/55	LPM 1254	3/23/56	Trying to Get to You	2:31
19.	11/20/55	6414-2	1983	When It Rains It Really Pours	2:01
20.	1/10/56	LPM 1254	3/23/56	I Got A Woman	2:23
21.	1/10/56	47-6420	1/27/56	Heartbreak Hotel	2:08
22.	1/10/56	LPM 1254	3/23/56	Money Honey	2:34
23.	1/11/56	LPM 1254	3/23/56	I'm Counting on You	2:24
24.	1/11/56	47-6420b	1/27/56	I Was The One	2:33
25.	1/30/56	LPM 1254	3/23/56	Blue Suede Shoes	1:58
26.	1/30/56	47-6540b	5/4/56	My Baby Left Me	2:11
27.	1/30/56	LPM 1254	3/23/56	One-Sided Love Affair	2:09
28.	1/30/56	LPM 1382	10/19/56	So Glad You're Mine	2:20
29.	1/31/56	LPM 1254	3/23/56	I'm Gonna Sit Right Down and Cry (Over You)	2:01
30.	1/31/56	LPM 1254	3/23/56	Tutti Frutti	1:58
