s Car plate (starting 1937)	Voivodeship or city	Capital	Area (1930) in 1,000skm 2	Population (1931) in 1,000s
s Car plate (starting 1937)	Voivodeship or city	Capital	Area (1930) in 1,000skm 2	Population (1931) in 1,000s
00–19	City of Warsaw	Warsaw	0.14	1,179.5
85–89	warszawskie	Warsaw	31.7	2,460.9
20–24	białostockie	Białystok	26.0	1,263.3
25–29	kieleckie	Kielce	22.2	2,671.0
30–34	krakowskie	Kraków	17.6	2,300.1
35–39	lubelskie	Lublin	26.6	2,116.2
40–44	lwowskie	Lwów	28.4	3,126.3
45–49	łódzkie	Łódź	20.4	2,650.1
50–54	nowogródzkie	Nowogródek	23.0	1,057.2
55–59	poleskie	Brześć nad Bugiem	36.7	1,132.2
60–64	pomorskie	Toruń	25.7	1,884.4
65–69	poznańskie	Poznań	28.1	2,339.6
70–74	stanisławowskie	Stanisławów	16.9	1,480.3
75–79	śląskie	Katowice	5.1	1,533.5
80–84	tarnopolskie	Tarnopol	16.5	1,600.4
90–94	wileńskie	Wilno	29.0	1,276.0
95–99	wołyńskie	Łuck	35.7	2,085.6
