Year	Flagship Station	Play-by-play	Color commentator(s)	Studio host
1999-2000	WEEI	Howard David	Cedric Maxwell	Ted Sarandis
1998-99	WEEI	Howard David	Cedric Maxwell	Ted Sarandis
1997-98	WEEI	Howard David	Cedric Maxwell	Ted Sarandis
1996-97	WEEI	Spencer Ross	Cedric Maxwell	Ted Sarandis
1995-96	WRKO	Spencer Ross	Cedric Maxwell	Ted Sarandis
1994-95	WEEI	Glenn Ordway	Jerry Sichting	Craig Mustard
1993-94	WEEI	Glenn Ordway	Jerry Sichting	Craig Mustard
1992-93	WEEI	Glenn Ordway	Jerry Sichting	Craig Mustard
1991-92	WEEI	Glenn Ordway	Jerry Sichting	Craig Mustard
1990-91	WEEI	Glenn Ordway	Doug Brown	Craig Mustard
