Heat	Lane	Name	Nationality	Time
4	3	Alicia Coutts	Australia	2:11.55
4	4	Katie Hoff	United States	2:11.58
3	4	Natalie Coughlin	United States	2:11.63
5	3	Hannah Miley	Great Britain	2:11.72
3	6	Julie Hjorth-Hansen	Denmark	2:11.99
5	4	Stephanie Rice	Australia	2:12.07
4	5	Camille Muffat	France	2:12.16
5	5	Kirsty Coventry	Zimbabwe	2:12.18
3	2	Asami Kitagawa	Japan	2:12.47
5	6	Katarzyna Baranowska	Poland	2:12.47
5	2	Evelyn Verrasztó	Hungary	2:12.52
3	1	Li Jiaxing	China	2:12.53
3	7	Julia Wilkinson	Canada	2:12.56
3	5	Mireia Belmonte García	Spain	2:12.75
3	3	Keri-Anne Payne	Great Britain	2:12.78
4	1	Svetlana Karpeeva	Russia	2:12.94
4	8	Katinka Hosszú	Hungary	2:13.05
5	1	Helen Norfolk	New Zealand	2:13.50
5	7	Erica Morningstar	Canada	2:14.11
4	6	Qi Hui	China	2:14.25
4	2	Cylia Vabre	France	2:14.34
2	7	Joanna Maranhão	Brazil	2:14.97
2	1	Sara Nordenstam	Norway	2:15.13
2	2	Choi Hye-Ra	South Korea	2:15.26
2	3	Anja Klinar	Slovenia	2:15.39
2	5	Jessica Pengelly	South Africa	2:15.80
3	8	María Peláez	Spain	2:15.97
2	6	Femke Heemskerk	Netherlands	2:16.28
2	8	Siow Yi Ting	Malaysia	2:17.11
4	7	Katharina Schiller	Germany	2:18.00
1	6	Ganna Dzerkal	Ukraine	2:18.25
1	2	Erika Stewart	Colombia	2:18.54
1	3	Sherry Tsai	Hong Kong	2:18.91
5	8	Sonja Schöber	Germany	2:20.18
1	4	Erla Dögg Haraldsdóttir	Iceland	2:20.53
1	7	Lin Man-Hsu	Chinese Taipei	2:23.29
2	4	Georgina Bardach	Argentina	2:25.74
1	1	Fibriani Ratna Marita	Indonesia	2:28.18
1	5	Maroua Mathlouthi	Tunisia	DNS
