Driver	Constructor	Laps	Time/Retired	Grid
Jack Brabham	Cooper - Climax	55	2:19:00.03	3
Bruce McLaren	Cooper - Climax	55	+ 57.97	6
Jim Clark	Lotus - Climax	55	+ 1:53.23	8
Wolfgang von Trips	Ferrari	55	+ 1:58.81	9
Tony Brooks	Cooper - Climax	49	+ 6 Laps	12
Innes Ireland	Lotus - Climax	48	+ 7 Laps	7
Olivier Gendebien	Cooper - Climax	46	+ 9 Laps	14
Stirling Moss	Lotus - Climax	51	Disqualified	4
Mário de Araújo Cabral	Cooper - Maserati	38	Accident	15
John Surtees	Lotus - Climax	37	Radiator	1
Phil Hill	Ferrari	30	Accident	10
Dan Gurney	BRM	25	Engine	2
Masten Gregory	Cooper - Maserati	21	Gearbox	11
Graham Hill	BRM	9	Gearbox	5
Jo Bonnier	BRM	6	Engine	13
