Date	Track	Event Name	Pole Winner	Race Winner
February 10	Daytona International Speedway	ARCA 200 at Daytona	Erin Crocker	Bobby Gerhart
March 24	USA International Speedway	Construct Corps-Palm Beach Grading 250	Bobby Santos III	James Buescher
April 7	Nashville Superspeedway	Nashville ARCA 150	Cale Gale	Chad McCumbee
April 22	Salem Speedway	Kentuckian Ford Dealers ARCA 200	Michael McDowell	Brian Keselowski
April 27	Kansas Speedway	Kansas Lottery 150 Grand	Justin Marks	Scott Lagasse Jr.
May 6	Winchester Speedway	Winchester ARCA 200	Michael McDowell	Billy Leslie
May 12	Kentucky Speedway	Buckle-Up Kentucky 150	Michael McDowell	Erik Darnell
May 20	Toledo Speedway	Hantz Group 200	Michael McDowell	Ken Butler III
June 2	Iowa Speedway	Prairie Meadows 250	Michael Annett	Frank Kimmel
June 9	Pocono Raceway	Pocono 200	Tim Andrews	Chad McCumbee
June 15	Michigan International Speedway	Michigan ARCA 200	Sam Hornish Jr.	Erik Darnell
July 7	Berlin Raceway	Sara Lee-GFS 200	Michael McDowell	Brian Keselowski
July 13	Kentucky Speedway	Channel 5 150	Erin Crocker	Michael McDowell
August 4	Pocono Raceway	Pennsylvania 200	Bobby Santos III	Michael McDowell
August 11	Nashville Superspeedway	Toyota ARCA 150	Michael McDowell	Jeremy Clements
August 19	Illinois State Fair	Allen Crowe 100	N/A (Rained out)	Frank Kimmel
August 26	Milwaukee Mile	Governor's Cup 200	Michael McDowell	Frank Kimmel
August 31	Gateway International Speedway	Gateway ARCA 150	Josh Wise	Bryan Clauson
September 3	DuQuoin State Fairgrounds	Southern Illinois 100	A. J. Fike	Ken Schrader
September 8	Chicagoland Speedway	Hantz Group 200	Michael McDowell	Michael McDowell
September 15	Salem Speedway	Eddie Gilstrap Motors ARCA Fall Classic	Brian Keselowski	Justin Allgaier
October 5	Talladega Superspeedway	ARCA REMAX 250	Bryan Clauson	Michael Annett
October 14	Toledo Speedway	Hantz Group 200	Michael McDowell	Michael McDowell
