Date	Visitor	Score	Home	Decision	Attendance	Record
December 3	Philadelphia	3 – 4	Nashville	Niittymaki	16,116	15–6–4
December 6	Calgary	0 – 1	Philadelphia	Niittymaki	19,542	16–6–4
December 8	Edmonton	3 – 2	Philadelphia	Niittymaki	19,411	16–7–4
December 10	Minnesota	2 – 3	Philadelphia	Niittymaki	19,592	17–7–4
December 13	Philadelphia	3 – 1	Columbus	Esche	16,263	18–7–4
December 15	Vancouver	5 – 4	Philadelphia	Esche	n/a	18–8–4
December 17	Philadelphia	5 – 2	St. Louis	Niittymaki	15,299	19–8–4
December 19	Buffalo	2 – 1	Philadelphia	Niittymaki	19,572	19–8–5
December 22	Ottawa	3 – 4	Philadelphia	Niittymaki	19,817	20–8–5
December 23	Philadelphia	5 – 4	Pittsburgh	Niittymaki	17,132	21–8–5
December 26	Philadelphia	3 – 2	Florida	Niittymaki	18,791	22–8–5
December 28	Philadelphia	4 – 3	Atlanta	Niittymaki	18,545	23–8–5
December 29	Philadelphia	4 – 3	Carolina	Niittymaki	18,730	24–8–5
December 31	Philadelphia	3 – 4	Washington	Niittymaki	16,492	24–8–6
