Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position
1986	3	0	0	0	0	27.3	25.0	$4,255	61st
1990	1	0	0	0	0	33.0	35.0	$2,825	96th
1991	2	0	0	0	0	38.5	36.0	$8,505	64th
1992	2	0	0	0	0	35.0	25.5	$11,050	59th
1993	1	0	0	0	0	36.0	35.0	$5,180	80th
1994	1	0	0	0	0	38.0	31.0	$9,550	72nd
1996	5	0	0	0	0	13.0	19.4	$65,850	47th
1997	31	0	0	3	2	22.1	26.2	$900,569	30th
1998	30	0	4	9	0	18.6	20.2	$1,518,901	21st
1999	34	0	5	14	2	13.8	16.6	$2,499,877	10th
2000	34	0	1	11	1	14.5	17.2	$2,205,320	12th
2001	23	0	0	1	0	20.9	25.2	$1,921,186	40th
2002	36	0	0	1	0	22.9	27.8	$2,094,232	31st
2003	26	0	0	0	1	23.2	29.5	$1,782,804	39th
2004	1	0	0	0	0	43.0	22.0	$251,813	77th
2005	10	0	0	0	0	27.6	38.1	$969,109	49th
2006	4	0	0	0	0	33.0	39.0	$348,216	57th
2007	1	0	0	0	0	14.0	24.0	$98,575	65th
2008	11	0	0	0	0	26.5	32.1	$879,897	48th
2009	5	0	0	0	0	35.6	41.0	$493,416	55th
2011	21	0	0	0	0	37.0	39.5	$1,636,827	59th 1
2012	4	0	0	0	0	40.0	40.8	$340,850	53rd
