Year	Champion	Runner-up	Score	Surface
Professional Era	Professional Era	Professional Era	Professional Era	Professional Era
1934	Ellsworth Vines	Hans Nüsslein	4–6, 7–5, 6–3, 8–6 r1	Indoor
1935	Ellsworth Vines	Bill Tilden	6–1, 6–3, 5–7, 3–6, 6–3	Indoor
1936	Ellsworth Vines	Hans Nüsslein	6–4, 6–4, 6–2	Indoor
1937	Hans Nüsslein	Bill Tilden	6–3, 3–6, 6–3, 2–6, 6–2	Indoor
1938	Hans Nüsslein	Bill Tilden	7–5, 3–6, 6–3, 3–6, 6–2	Indoor
1939	Don Budge	Hans Nüsslein	13–11, 2–6, 6–4 r2	Indoor
1940–1948	Not Held	Not Held	Not Held	Not Held
1949	Jack Kramer	Bobby Riggs	2–6, 6–4, 6–3, 6–4	Indoor
1950	Pancho Gonzales	Welby Van Horn	6–3, 6–3, 6–2	Indoor
1951	Pancho Gonzales	Pancho Segura	6–2, 6–2, 2–6, 6–4	Indoor
1952	Pancho Gonzales	Jack Kramer	3–6, 3–6, 6–2, 6–4, 7–5	Indoor
1953	Frank Sedgman	Pancho Gonzales	6–1, 6–2, 6–2	Indoor
1954–1955	Not Held	Not Held	Not Held	Not Held
1956	Pancho Gonzales	Frank Sedgman	4–6, 11–9, 11–9, 9–7	Indoor
1957	Ken Rosewall	Pancho Segura	1–6, 6–3, 6–4, 3–6, 6–4	Indoor
1958	Frank Sedgman	Tony Trabert	6–4, 6–3, 6–4	Indoor
1959	Mal Anderson	Pancho Segura	4–6, 6–4, 3–6, 6–3, 8–6	Indoor
1960	Ken Rosewall	Pancho Segura	5–7, 8–6, 6–1, 6–3	Indoor
1961	Ken Rosewall	Lew Hoad	6–3, 3–6, 6–2, 6–3	Indoor
1962	Ken Rosewall	Lew Hoad	6–4, 5–7, 15–13, 7–5	Indoor
1963	Ken Rosewall	Lew Hoad	6–4, 6–2, 4–6, 6–3	Indoor
1964	Rod Laver	Ken Rosewall	7–5, 4–6, 5–7, 8–6, 8–6	Indoor
1965	Rod Laver	Andrés Gimeno	6–2, 6–3, 6–4	Indoor
1966	Rod Laver	Ken Rosewall	6–2, 6–2, 6–3	Indoor
1967	Rod Laver	Ken Rosewall	2–6, 6–1, 1–6, 8–6, 6–2	Indoor
Open Era	Open Era	Open Era	Open Era	Open Era
1968	Ken Rosewall	John Newcombe	6–4, 4–6, 7–5, 6–4	Indoor
1969	Rod Laver	Tony Roche	6–4, 6–1, 6–3	Indoor
1970	Rod Laver	Cliff Richey	6–3, 6–4, 7–5	Indoor
1971	Ilie Năstase	Rod Laver	3–6, 6–3, 3–6, 6–4, 6–4	Indoor
1972–1975	Not Held	Not Held	Not Held	Not Held
1976	Jimmy Connors	Roscoe Tanner	3–6, 7–6, 6–4	Indoor
1977	Björn Borg	John Lloyd	6–4, 6–4, 6–3	Indoor
1978	John McEnroe	Tim Gullikson	6–7, 6–4, 7–6, 6–2	Indoor
1979	John McEnroe	Harold Solomon	6–3, 6–4, 7–5	Indoor
1980	John McEnroe	Gene Mayer	6–4, 6–3, 6–3	Indoor
1981	Jimmy Connors	John McEnroe	3–6, 2–6, 6–3, 6–4, 6–2	Indoor
1982	John McEnroe	Brian Gottfried	6–3, 6–2, 6–4	Indoor
1983	John McEnroe	Jimmy Connors	7–5, 6–1, 6–4	Indoor
1984	Ivan Lendl	Andrés Gómez	7–6, 6–2, 6–1	Indoor
1985	Ivan Lendl	Boris Becker	6–7, 6–3, 4–6, 6–4, 6–4	Indoor
1986	Yannick Noah	Jonas Svensson	6–2, 6–3, 6–7, 4–6, 7–5	Indoor
1987	Ivan Lendl	Anders Järryd	6–3, 6–2, 7–5	Indoor
1988	Jakob Hlasek	Jonas Svensson	6–7, 3–6, 6–4, 6–0, 7–5	Indoor
1989	Michael Chang	Guy Forget	6–2, 6–1, 6–1	Indoor
1990	Jakob Hlasek	Michael Chang	7–6, 6–3	Indoor
