Date	Event	Location	Attendance	PPV Buyrate
January 1	UFC 125: Resolution	Las Vegas , Nevada, USA	12,874	270,000
January 22	UFC: Fight For The Troops 2	Killeen , Texas, USA	3,200	N/A
January 29	Strikeforce: Diaz vs. Cyborg	San Jose , California, USA	9,059	N/A
February 5	UFC 126: Silva vs. Belfort	Las Vegas , Nevada, USA	10,893	725,000
February 12	Strikeforce / M-1 Global: Fedor vs. Silva	East Rutherford , New Jersey, USA	11,287	N/A
February 25	MFC 28: Supremacy	Edmonton , Alberta, Canada	N/A	N/A
February 26	UFC 127: Penn vs. Fitch	Sydney, Australia	18,186	260,000
February 26	BAMMA 5: Daley vs. Shirai	Manchester , England	N/A	N/A
March 3	UFC Live: Sanchez vs. Kampmann	Louisville , Kentucky, USA	8,319	N/A
March 5	Strikeforce: Feijao vs. Henderson	Columbus , Ohio, USA	7,123	N/A
March 5	Bellator XXXV	Lemoore , California, USA	N/A	N/A
March 12	Bellator XXXVI	Shreveport , Louisiana, USA	N/A	N/A
March 19	Bellator XXXVII	Concho , Oklahoma, USA	N/A	N/A
March 19	UFC 128: Shogun vs. Jones	Newark , New Jersey, USA	12,619	445,000
March 26	Bellator XXXVIII	Tunica , Mississippi, USA	N/A	N/A
March 26	UFC Fight Night: Nogueira vs. Davis	Seattle , Washington , USA	13,741	N/A
April 2	Bellator XXXIX	Uncasville , Connecticut, USA	N/A	N/A
April 8	MFC 29: Conquer	Windsor , Ontario, Canada	N/A	N/A
April 9	Bellator XL	Newkirk , Oklahoma, USA	N/A	N/A
April 9	Strikeforce: Diaz vs. Daley	San Diego, California, USA	N/A	N/A
April 16	Bellator XLI	Yuma , Arizona, USA	N/A	N/A
April 23	Bellator XLII	Concho , Oklahoma, USA	N/A	N/A
April 30	UFC 129: St-Pierre vs. Shields	Toronto, Ontario, Canada	55,724	800,000 (Min.) 900,000 (Max.)
May 6	Tachi Palace Fights 9	Lemoore , California, USA	N/A	N/A
May 7	Bellator XLIII	Newkirk , Oklahoma, USA	N/A	N/A
May 14	Bellator XLIV	Atlantic City , New Jersey, USA	N/A	N/A
May 21	Bellator XLV	Lake Charles , Louisiana, USA	N/A	N/A
May 21	BAMMA 6: Watson vs. Ninja	London, England	N/A	N/A
May 29	Dream: Fight for Japan!	Saitama , Japan	6,522	N/A
June 4	The Ultimate Fighter 13 Finale	Las Vegas , Nevada, USA	N/A	N/A
June 10	MFC 30: Up Close and Personal	Edmonton , Alberta, Canada	N/A	N/A
June 11	UFC 131: dos Santos vs. Carwin	Vancouver , British Columbia, Canada	14,685	325,000 (Min.) 335,000 (Max.)
June 18	Strikeforce: Overeem vs. Werdum	Dallas , Texas, USA	N/A	N/A
June 25	Bellator XLVI	Hollywood , Florida, USA	N/A	N/A
June 26	UFC Live: Kongo vs. Barry	Pittsburgh , Pennsylvania, USA	7,792	N/A
July 2	UFC 132: Cruz vs. Faber 2	Las Vegas , Nevada, USA	13,109	350,000 (Min.) 375,000 (Max.)
July 16	Dream: Japan GP Final	Tokyo, Japan	8,142	N/A
July 23	Bellator XLVII	Rama , Ontario, Canada	N/A	N/A
July 30	Strikeforce: Fedor vs. Henderson	Hoffman Estates , Illinois, USA	N/A	N/A
August 6	UFC 133: Evans vs. Ortiz 2	Philadelphia , Pennsylvania, USA	11,583	N/A
August 14	UFC Live: Hardy vs. Lytle	Milwaukee , Wisconsin , USA	6,751	N/A
August 20	Bellator XLVIII	Uncasville , Connecticut, USA	N/A	N/A
August 27	UFC 134: Silva vs. Okami	Rio de Janeiro , Brazil	N/A	N/A
September 3	ONE FC: Champion vs. Champion	Kallang , Singapore	N/A	N/A
September 10	Strikeforce: Heavyweight Grand Prix Semifinals	Cincinnati , Ohio, USA	N/A	N/A
September 10	Bellator XLIX	Atlantic City , New Jersey, USA	N/A	N/A
September 10	BAMMA 7	Birmingham , England	N/A	N/A
September 17	UFC Fight Night: Battle on the Bayou	New Orleans, Louisiana, USA	N/A	N/A
September 17	Bellator L	Hollywood , Florida, USA	N/A	N/A
September 24	Dream 17	Saitama , Japan	N/A	N/A
September 24	Bellator LI	Canton , Ohio, USA	N/A	N/A
September 24	UFC 135	Denver , Colorado, USA	N/A	N/A
October 1	UFC on Versus 6	Washington, D.C., USA	N/A	N/A
October 1	Bellator LII	Lake Charles , Louisiana, USA	N/A	N/A
October 8	UFC 136: Edgar vs. Maynard III	Houston , Texas, USA	N/A	N/A
October 8	Bellator LIII	USA	N/A	N/A
October 15	Bellator LIV	Atlantic City , New Jersey, USA	N/A	N/A
October 29	UFC 137: St-Pierre vs. Diaz	Las Vegas , Nevada, USA	N/A	N/A
November 5	UFC 138: Leben vs. Muñoz	Birmingham , England	N/A	N/A
November 12	UFC on Fox: Velasquez vs. Dos Santos	Anaheim , California, USA	N/A	N/A
November 19	Bellator Event	Hollywood , Florida, USA	N/A	N/A
December 3	The Ultimate Fighter 14 Finale	Las Vegas , Nevada USA	N/A	N/A
December 10	UFC 140	Toronto, Ontario, Canada	N/A	N/A
December 31	Fight For Japan: Genki Desu Ka Omisoka 2011	Saitama , Japan	24,606	N/A
