No. in series	No. in season	Title	Directed by	Written by	Original air date
1	0	"Pilot – Telemovie"	Kate Dennis	Debra Oswald	15August2010
2	1	"Taking Charge"	Kate Dennis	Debra Oswald	22August2010
3	2	"The Uncomfortability"	Darren Ashton	Jonathan Gavin	29August2010
4	3	"Playing Aloof"	Darren Ashton	Michael Lucas	5September2010
5	4	"Poison Ivy"	Sian and Jane Davies	Kylie Needham	12September2010
6	5	"Carpe Diem"	Sian and Jane Davies	Debra Oswald and Jonathan Gavin	19September2010
7	6	"D-Day"	Kate Dennis	Michael Lucas	26September2010
8	7	"Two Sisters"	Kate Dennis	Debra Oswald	3October2010
9	8	"Re-Unravel"	Glendyn Ivin	Jonathan Gavin	17October2010
10	9	"Making Peace"	Glendyn Ivin	Jonathan Gavin	24October2010
11	10	"The Other Woman"	Shirley Barrett	Debra Oswald	31October2010
12	11	"My Confessions"	Shirley Barrett	Michael Lucas	14November2010
13	12	"Not as Planned"(Part 1)	Kate Dennis	Jonathan Gavin	21November2010
