Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1971 (44th)	Mon oncle Antoine	Mon oncle Antoine	Claude Jutra Category:Articles with hCards	Not Nominated
1972 (45th)	The True Nature of Bernadette	La Vraie nature de Bernadette	Gilles Carle Category:Articles with hCards	Not Nominated
1975 (48th)	Orders	Les Ordres	Michel Brault Category:Articles with hCards	Not Nominated
1977 (50th)	J.A. Martin Photographer	J.A. Martin photographe	Jean Beaudin Category:Articles with hCards	Not Nominated
1979 (52nd)	A Scream from Silence	Mourir à tue-tête	Anne Claire Poirier Category:Articles with hCards	Not Nominated
1980 (53rd)	Good Riddance	Les Bons débarras	Francis Mankiewicz Category:Articles with hCards	Not Nominated
1981 (54th)	The Plouffe Family	Les Plouffe	Gilles Carle Category:Articles with hCards	Not Nominated
1982 (55th)	Wild Flowers	Les Fleurs savages	Jean Pierre Lefebvre Category:Articles with hCards	Not Nominated
1983 (56th)	The Tin Flute	Bonheur d'occasion	Claude Fournier Category:Articles with hCards	Not Nominated
1984 (57th)	Sonatine	Sonatine	Micheline Lanctôt Category:Articles with hCards	Not Nominated
1985 (58th)	Jacques and November	Jacques et novembre	François Bouvier Category:Articles with hCards	Not Nominated
1986 (59th)	The Decline of the American Empire	Le Déclin de l'empire américain	Denys Arcand Category:Articles with hCards	Nominee
1987 (60th)	Night Zoo	Un Zoo la Nuit	Jean-Claude Lauzon Category:Articles with hCards	Not Nominated
1988 (61st)	The Revolving Doors	Les portes tournantes	Francis Mankiewicz Category:Articles with hCards	Not Nominated
1989 (62nd)	Jesus of Montreal	Jésus de Montréal	Denys Arcand Category:Articles with hCards	Nominee
1990 (63rd)	An Imaginary Tale	Une histoire inventée	André Forcier Category:Articles with hCards	Not Nominated
1991 (64th)	A Bullet in the Head	A Bullet in the Head	Attila Bertalan Category:Articles with hCards	Not Nominated
1992 (65th)	Léolo	Léolo	Jean-Claude Lauzon Category:Articles with hCards	Not Nominated
1993 (66th)	Le Sexe des étoiles	Le Sexe des étoiles	Paule Baillargeon Category:Articles with hCards	Not Nominated
1994 (67th)	Mon amie Max	Mon amie Max	Michel Brault Category:Articles with hCards	Not Nominated
1995 (68th)	The Confessional	Le Confessional	Robert Lepage Category:Articles with hCards	Not Nominated
1996 (69th)	Not Me!	Sous-sol	Pierre Gang Category:Articles with hCards	Not Nominated
1998 (71st)	August 32nd on Earth	Un 32 août sur terre	Denis Villeneuve Category:Articles with hCards	Not Nominated
1999 (72nd)	Set Me Free	Emporte-moi	Léa Pool Category:Articles with hCards	Not Nominated
2000 (73rd)	Maelström	Maelström	Denis Villeneuve Category:Articles with hCards	Not Nominated
2001 (74th)	Atanarjuat	Atanarjuat	Zacharias Kunuk Category:Articles with hCards	Not Nominated
2002 (75th)	Un crabe dans la tête	Un crabe dans la tête	André Turpin Category:Articles with hCards	Not Nominated
2003 (76th)	The Barbarian Invasions	Les Invasions barbares	Denys Arcand Category:Articles with hCards	Won Academy Award
2004 (77th)	Far Side of the Moon	La face cachée de la lune	Robert Lepage Category:Articles with hCards	Not Nominated
2005 (78th)	C.R.A.Z.Y.	C.R.A.Z.Y.	Jean-Marc Vallée Category:Articles with hCards	Not Nominated
2006 (79th)	Water	वाटर	Deepa Mehta Category:Articles with hCards	Nominee
2007 (80th)	Days of Darkness	L’Âge des ténèbres	Denys Arcand Category:Articles with hCards	Made January Shortlist
2008 (81st)	The Necessities of Life	Ce qu'il faut pour vivre	Benoît Pilon Category:Articles with hCards	Made January Shortlist
2009 (82nd)	I Killed My Mother	J'ai tué ma mère	Xavier Dolan Category:Articles with hCards	Not Nominated
2010 (83rd)	Incendies	Incendies	Denis Villeneuve Category:Articles with hCards	Nominee
2011 (84th)	Monsieur Lazhar	Monsieur Lazhar	Philippe Falardeau Category:Articles with hCards	Nominee
2012 (85th)	War Witch	Rebelle	Kim Nguyen Category:Articles with hCards	Nominee
