Record	Athlete	Nation	Venue	Date
4.05m(13ft3¼in)	Sun Caiyun	China	Nanjing , China	21 May 1992
4.08m(13ft4½in)	Sun Caiyun	China	Taiyuan , China	18 May 1995
4.08m(13ft4½in)	Zhong Guiqing	China	Taiyuan , China	18 May 1995
4.10m(13ft5¼in)	Daniela Bártová	Czech Republic	Ljubljana , Slovenia	21 May 1995
4.12m(13ft6in)	Daniela Bártová	Czech Republic	Duisburg , Germany	18 June 1995
4.13m(13ft6½in)	Daniela Bártová	Czech Republic	Wesel , Germany	24 June 1995
4.14m(13ft6¾in)	Daniela Bártová	Czech Republic	Gateshead , England	2 July 1995
4.15m(13ft7¼in)	Daniela Bártová	Czech Republic	Ostrava , Czech Republic	6 July 1995
4.16m(13ft7¾in)	Daniela Bártová	Czech Republic	Feldkirch , Austria	14 July 1995
4.17m(13ft8in)	Daniela Bártová	Czech Republic	Feldkirch , Austria	15 July 1995
4.18m(13ft8½in)	Andrea Müller	Germany	Zittau , Germany	5 August 1995
4.20m(13ft9¼in)	Daniela Bártová	Czech Republic	Köln , Germany	18 August 1995
4.21m(13ft9½in)	Daniela Bártová	Czech Republic	Linz , Austria	22 August 1995
4.22m(13ft10in)	Daniela Bártová	Czech Republic	Salgotarjan , Hungary	11 September 1995
4.25m(13ft11¼in)	Emma George	Australia	Melbourne , Australia	30 November 1995
4.28m(14ft0½in)	Emma George	Australia	Perth , Australia	17 December 1995
4.41m(14ft5½in)	Emma George	Australia	Perth , Australia	28 January 1996
4.42m(14ft6in)	Emma George	Australia	Reims , France	29 June 1996
4.45m(14ft7in)	Emma George	Australia	Sapporo , Japan	14 July 1996
4.50m(14ft9in)	Emma George	Australia	Melbourne , Australia	8 February 1997
4.55m(14ft11in)	Emma George	Australia	Melbourne , Australia	20 February 1997
4.57m(14ft11¾in)	Emma George	Australia	Auckland , New Zealand	21 February 1998
4.58m(15ft0¼in)	Emma George	Australia	Melbourne , Australia	14 March 1998
4.59m(15ft0½in)	Emma George	Australia	Brisbane , Australia	21 March 1998
4.60m(15ft1in)	Emma George	Australia	Sydney , Australia	20 February 1999
4.60m(15ft1in)	Stacy Dragila	United States	Sevilla , Spain	21 August 1999
i 4.60m(15ft1in)	Stacy Dragila	United States	Pocatello , U.S.	19 Feb 2000
i 4.62m(15ft1¾in)	Stacy Dragila	United States	Atlanta , U.S.	3 Mar 2000
4.63m(15ft2¼in)	Stacy Dragila	United States	Sacramento , U.S.	23 July 2000
i 4.63m(15ft2¼in)	Stacy Dragila	United States	New York City , U.S.	2 Feb 2001
i 4.64m(15ft2½in)	Svetlana Feofanova	Russia	Dortmund , Germany	11 February 2001
i 4.66m(15ft3¼in)	Stacy Dragila	United States	Pocatello , U.S.	17 Feb 2001
i 4.70m(15ft5in)	Stacy Dragila	United States	Pocatello , U.S.	17 Feb 2001
4.70m(15ft5in)	Stacy Dragila	United States	Pocatello , U.S.	27 April 2001
4.71m(15ft5¼in)	Stacy Dragila	United States	Palo Alto , U.S.	9 June 2001
4.81m(15ft9¼in)	Stacy Dragila	United States	Palo Alto , U.S.	9 June 2001
4.82m(15ft9¾in)	Yelena Isinbayeva	Russia	Gateshead , England	13 July 2003
i 4.83m(15ft10in)	Yelena Isinbayeva	Russia	Donets'k , Ukraine	15 February 2004
i 4.85m(15ft10¾in)	Svetlana Feofanova	Russia	Athens , Greece	22 February 2004
i 4.86m(15ft11¼in)	Yelena Isinbayeva	Russia	Budapest , Hungary	6 March 2004
4.87m(15ft11½in)	Yelena Isinbayeva	Russia	Gateshead , England	27 June 2004
4.88m(16ft0in)	Svetlana Feofanova	Russia	Heraklion , Greece	4 July 2004
4.89m(16ft0½in)	Yelena Isinbayeva	Russia	Birmingham , England	25 July 2004
4.90m(16ft0¾in)	Yelena Isinbayeva	Russia	London , England	30 July 2004
4.91m(16ft1¼in)	Yelena Isinbayeva	Russia	Athens , Greece	24 August 2004
4.92m(16ft1½in)	Yelena Isinbayeva	Russia	Brussels , Belgium	3 September 2004
4.93m(16ft2in)	Yelena Isinbayeva	Russia	Lausanne , Switzerland	5 July 2005
4.95m(16ft2¾in)	Yelena Isinbayeva	Russia	Madrid , Spain	16 July 2005
4.96m(16ft3¼in)	Yelena Isinbayeva	Russia	London , England	22 July 2005
5.00m(16ft4¾in)	Yelena Isinbayeva	Russia	London , England	22 July 2005
5.01m(16ft5in)	Yelena Isinbayeva	Russia	Helsinki , Finland	9 August 2005
5.03m(16ft6in)	Yelena Isinbayeva	Russia	Rome , Italy	11 July 2008
5.04m(16ft6¼in)	Yelena Isinbayeva	Russia	Fontvieille , Monaco	29 July 2008
5.05m(16ft6¾in)	Yelena Isinbayeva	Russia	Beijing , China	18 August 2008
5.06m(16ft7in)	Yelena Isinbayeva	Russia	Zürich , Switzerland	28 August 2009
