Driver	Constructor	Laps	Time/Retired	Grid
Graham Hill	Lotus - Ford	80	1:56:59.4	4
Piers Courage	Brabham - Ford	80	+ 17.3	9
Jo Siffert	Lotus - Ford	80	+ 34.6	5
Richard Attwood	Lotus - Ford	80	+ 52.9	10
Bruce McLaren	McLaren - Ford	79	+ 1 Lap	11
Denny Hulme	McLaren - Ford	78	+ 2 Laps	12
Vic Elford	Cooper - Maserati	74	+ 6 Laps	16
Jacky Ickx	Brabham - Ford	48	Suspension	7
Jackie Stewart	Matra - Ford	22	Halfshaft	1
Jean-Pierre Beltoise	Matra - Ford	20	Halfshaft	3
Chris Amon	Ferrari	16	Differential	2
Pedro Rodríguez	BRM	15	Engine	14
Silvio Moser	Brabham - Ford	15	Halfshaft	15
John Surtees	BRM	9	Gearbox	6
Jack Brabham	Brabham - Ford	9	Accident	8
Jackie Oliver	BRM	0	Accident	13
