Pick	Player	Country of Origin*	PBA team	College
1	Paolo Mendoza	Philippines	Sta. Lucia Realtors	UP-Diliman
2	Mark Steven Victoria	Philippines	Pop Cola Panthers	Far Eastern
3	Dino Aldeguer	Philippines	Purefoods Tender Juicy Hotdogs	La Salle-Manila
4	Erwin Velez	Philippines	Mobiline Phone Pals	Letran
5	Joseph Gumatay	Philippines	Batang Red Bull Energizers	UP-Diliman
6	Ernesto Billones	Philippines	Barangay Ginebra Kings	Las Piñas
7	Ronaldo Carmona, Jr.	Philippines	San Miguel Beermen	Perpetual Help
8	Glen Peter Yap	Philippines	Alaska Aces	Adamson
9	Patrick Madarang	United States	Alaska Aces	UP-Diliman
10	Randy Lopez	Philippines	Sta. Lucia Realtors	St. Benilde
