Rider	Manufacturer	Laps	Time	Grid
Marco Simoncelli	Gilera	27	43:29.003	1
Yuki Takahashi	Honda	27	+5.164	10
Álvaro Bautista	Aprilia	27	+8.648	6
Roberto Locatelli	Gilera	27	+15.605	8
Hiroshi Aoyama	KTM	27	+20.991	5
Héctor Faubel	Aprilia	27	+22.212	9
Aleix Espargaró	Aprilia	27	+23.199	12
Ratthapark Wilairot	Honda	27	+23.321	7
Mattia Pasini	Aprilia	27	+37.424	14
Thomas Lüthi	Aprilia	27	+38.887	11
Mika Kallio	KTM	27	+44.065	4
Alex Baldolini	Aprilia	27	+1:10.999	16
Imre Tóth	Aprilia	27	+1:31.950	18
Daniel Arcas	Honda	27	+1:39.110	22
Simone Grotzkyj	Gilera	27	+1:41.209	17
Manuel Hernández	Aprilia	26	+1 Lap	21
Karel Abraham	Aprilia	26	+1 Lap	20
Federico Sandi	Aprilia	26	+1 Lap	19
Doni Tata Pradita	Yamaha	26	+1 Lap	23
Alen Győrfi	Aprilia	24	Accident	24
Alex Debón	Aprilia	21	Accident	2
Julián Simón	KTM	19	Retirement	3
Fabrizio Lai	Gilera	12	Accident	15
Lukáš Pešek	Aprilia	11	Accident	13
Toni Wirsing	Honda	11	Retirement	25
