Rank	Name	Location	Height Metres / feet	Floors
1	Crystal Palace	Ljubljana	metres (ft)	20
2	World Trade Center Ljubljana	Ljubljana	metres (ft)	18
3	Tivolska 50	Ljubljana	metres (ft)	15
4	Nebotičnik	Ljubljana	metres (ft)	13
5	TR3	Ljubljana	metres (ft)	17
5	St. Joseph Church	Ljubljana	metres (ft)	N/A
7	UKC Maribor	Maribor	metres (ft)	16
8	Betnavski park	Maribor	metres (ft)	3x17
8	St. James Church	Ljubljana	metres (ft)	N/A
10	Eda center	Nova Gorica	metres (ft)	15
11	Metalka Building	Ljubljana	metres (ft)	15
11	TR2	Ljubljana	metres (ft)	12
13	R5	Ljubljana	metres (ft)	17
14	Franciscan Church	Maribor	metres (ft)	N/A
15	Maribor Cathedral	Maribor	metres (ft)	N/A
