Date	Visitor	Score	Home	Decision	Attendance	Record
January 1	Chicago	2 – 9	Los Angeles	LaBarbera	16,916	15–24–2
January 3	Columbus	4 – 3	Los Angeles	LaBarbera	14,173	15–25–2
January 5	Calgary	6 – 4	Los Angeles	LaBarbera	18,118	15–26–2
January 8	Nashville	7 – 0	Los Angeles	LaBarbera	14,751	15–27–2
January 10	Toronto	2 – 5	Los Angeles	LaBarbera	18,118	16–27–2
January 12	Dallas	3 – 4	Los Angeles	LaBarbera	16,916	17–27–2
January 15	Los Angeles	3 – 1	Edmonton	LaBarbera	16,839	18–27–2
January 18	Los Angeles	1 – 6	Calgary	LaBarbera	19,289	18–28–2
January 19	Los Angeles	4 – 3	Vancouver	LaBarbera	18,630	19–28–2
January 22	Detroit	3 – 0	Los Angeles	LaBarbera	18,118	19–29–2
January 24	Anaheim	1 – 3	Los Angeles	LaBarbera	18,118	20–29–2
January 29	Los Angeles	2 – 3	Philadelphia	LaBarbera	19,127	20–29–3
January 31	Los Angeles	3 – 1	NY Islanders	LaBarbera	10,148	21–29–3
