Player	Rank	Event	Surface	Score
2009	2009	2009	2009	2009
Gaël Monfils	9	Indian Wells , United States	Hard	6–7 (5–7) , 6–1, 6–4
Jo-Wilfried Tsonga	7	Washington , United States	Hard	4–6, 7–6 (7–2) , 7–6 (7–4)
Andy Roddick	5	US Open , New York, United States	Hard	7–6 (7–3) , 6–3, 3–6, 5–7, 7–6 (7–5)
2010	2010	2010	2010	2010
Nikolay Davydenko	6	Beijing , China	Hard	7–6 (7–2) , 6–4
2011	2011	2011	2011	2011
David Ferrer	5	Paris , France	Hard (i)	6–3, 3–6, 6–3
2012	2012	2012	2012	2012
Roger Federer	3	Davis Cup , Fribourg, Switzerland	Clay (i)	4–6, 6–3, 7–6 (7–4) , 6–2
Novak Djokovic	1	Indian Wells , United States	Hard	7–6 (9–7) , 3–6, 7–6 (7–5)
Jo-Wilfried Tsonga	6	Davis Cup , Roquebrune-Cap-Martin, France	Clay	6–3, 7–6 (7–4) , 5–7, 6–3
Janko Tipsarević	8	Olympics , London, England	Grass	7–5, 7–6 (16–14)
Jo-Wilfried Tsonga	6	Winston-Salem , United States	Hard	6–4, 3–6, 7–6 (7–3)
Tomáš Berdych	7	Winston-Salem, United States	Hard	3–6, 6–4, 7–6 (11–9)
2013	2013	2013	2013	2013
Milos Raonic	10	Cincinnati , United States	Hard	7–6 (7–5) , 6–4
Novak Djokovic	1	Cincinnati, United States	Hard	7–6 (7–5) , 3–6, 7–5
Juan Martín del Potro	7	Cincinnati, United States	Hard	6–7 (5–7) , 7–6 (11–9) , 6–3
