N°	Television service	Country	Language	Content	DAR	HDTV	PPV	Package/Option
200	Sky Sport 24 HD	Italy	Italian	sport news	16:9	yes	no	Sky Sport o Sky Calcio o Sky TV + Sky HD
201	Sky Sport 1 HD	Italy	Italian	sport	16:9	yes	no	Sky Sport + Sky HD
202	Sky Sport 2 HD	Italy	Italian	sport	16:9	yes	no	Sky Sport + Sky HD
203	Sky Sport 3 HD	Italy	Italian	sport	16:9	yes	no	Sky Sport + Sky HD
204	Sky Sport Extra HD	Italy	Italian	sport	16:9	yes	no	Sky Sport + Sky HD
205	FOX Sports HD	Italy	Italian	sport	16:9	yes	no	Sky Calcio + Sky HD
209	Sky 3D	Italy	Italian	tematico	16:9	yes	no	Tutti i pacchetti + Sky HD
211	Eurosport HD	Italy	Italian	sport	16:9	yes	no	Sky Sport + Sky HD
212	Eurosport 2 HD	Italy	Italian	sport	16:9	yes	no	Sky Sport + Sky HD
214	ESPN America HD	United States	English	sport	16:9	yes	no	Sky Sport + Sky HD
216	ESPN Classic	Italy	Italian	sport	16:9	no	no	Sky Sport
220	SNAI Sat	Italy	Italian	ippica	4:3	no	no	Sky Sport
221	Class Horse TV	Italy	Italian	ippica	16:9	no	no	no ( FTA )
222	POKERItalia24	Italy	Italian	poker	4:3	no	no	no ( FTA )
224	SuperTennis HD	Italy	Italian	tennis	16:9	yes	no	no ( FTV )
225	Sportitalia	Italy	Italian	sport	16:9	no	no	qualsiasi
226	Sportitalia 2	Italy	Italian	sport	16:9	no	no	qualsiasi
227	Rai Sport 1	Italy	Italian	sport	16:9	no	no	no ( FTA )
228	Rai Sport 2	Italy	Italian	sport	16:9	no	no	no ( FTA )
230	Milan Channel	Italy	Italian	calcio	16:9	no	no	Option
231	Juventus Channel	Italy	Italian	calcio	16:9	no	no	Option
232	Inter Channel	Italy	Italian	calcio	16:9	no	no	Option
233	Lazio Style Channel	Italy	Italian	calcio	16:9	no	no	Option
234	Roma Channel	Italy	Italian	calcio	4:3	no	no	Option
235	Caccia e Pesca	Italy	Italian	caccia e pesca	16:9	no	no	Option
236	Caccia e Pesca +	Italy	Italian	timeshift +6 di Caccia e Pesca	16:9	no	no	Option
241	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
241	Sky Sport 1	Italy	Italian	sport	16:9	no	no	Sky Sport
242	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
242	Sky Sport 2	Italy	Italian	sport	16:9	no	no	Sky Sport
243	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
243	Sky Sport 3	Italy	Italian	sport	16:9	no	no	Sky Sport
244	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
244	Sky Sport Extra	Italy	Italian	sport	16:9	no	no	Sky Sport
245	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
245	Sky Supercalcio	Italy	Italian	calcio	16:9	no	no	Sky Calcio
246	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
246	Eurosport	Italy	Italian	sport	16:9	no	no	Sky Sport
247	Eurosport 2	Italy	Italian	sport	16:9	no	no	Sky Sport
