Season	Team	Country	League	Level	Apps	Goals
2002	Kaisar	Kazakhstan	Premier League	1	2	0
2003	Kaisar	Kazakhstan	Premier League	1	28	2
2004	Kaisar	Kazakhstan	Premier League	1	25	0
2005	Irtysh	Kazakhstan	Premier League	1	19	0
2006	Kaisar	Kazakhstan	Premier League	1	26	5
2007	Kaisar	Kazakhstan	Premier League	1	28	2
2008	Kaisar	Kazakhstan	Premier League	1	20	10
2009	Lokomotiv Astana	Kazakhstan	Premier League	1	19	0
2010	Aktobe	Kazakhstan	Premier League	1	0 3	0
2010	Zhetysu	Kazakhstan	Premier League	1	13	1
2011	FC Shakhter Karagandy	Kazakhstan	Premier League	1	27	2
