Year(s)	Television commentator	Dual Television commentator	Radio commentator	Spokesperson
2003	Pavlo Shylko	No Dual Television Commentator	No broadcast	Lyudmyla Hariv
2004	Rodion Pryntsevsky	No Dual Television Commentator	No broadcast	Pavlo Shylko
2005	Yaroslav Chornenkyi	No Dual Television Commentator	Galyna Babiy	Maria Orlova
2006	Pavlo Shylko	No Dual Television Commentator	No broadcast	Igor Posypaiko
2007	Timur Miroshnychenko	No Dual Television Commentator	No broadcast	Kateryna Osadcha
2008	Timur Miroshnychenko	No Dual Television Commentator	No broadcast	Marysya Horobets
2009	Timur Miroshnychenko	No Dual Television Commentator	No broadcast	Marysya Horobets
2010	Timur Miroshnychenko	No Dual Television Commentator	No broadcast	Iryna Zhuravska
2011	Timur Miroshnychenko	Tetiana Terekhova	Olena Zelinchenko	Ruslana
2012	Timur Miroshnychenko	Tetiana Terekhova	Olena Zelinchenko	Oleksiy Matias
