Entrant	Constructor	Chassis	Engine †	Tyre	Driver	Rounds
West McLaren Mercedes	McLaren - Mercedes	MP4/15	Mercedes FO110J	B	Mika Häkkinen	All
West McLaren Mercedes	McLaren - Mercedes	MP4/15	Mercedes FO110J	B	David Coulthard	All
Scuderia Ferrari Marlboro	Ferrari	F1-2000	Ferrari 049	B	Michael Schumacher	All
Scuderia Ferrari Marlboro	Ferrari	F1-2000	Ferrari 049	B	Rubens Barrichello	All
Benson and Hedges Jordan	Jordan - Mugen-Honda	EJ10 EJ10B	Mugen-Honda MF-301 HE	B	Heinz-Harald Frentzen	All
Benson and Hedges Jordan	Jordan - Mugen-Honda	EJ10 EJ10B	Mugen-Honda MF-301 HE	B	Jarno Trulli	All
Jaguar Racing	Jaguar - Cosworth	R1	Cosworth CR-2	B	Eddie Irvine	1–9, 11–17
Jaguar Racing	Jaguar - Cosworth	R1	Cosworth CR-2	B	Luciano Burti	10
Jaguar Racing	Jaguar - Cosworth	R1	Cosworth CR-2	B	Johnny Herbert	All
BMW WilliamsF1 Team	Williams - BMW	FW22	BMW E41	B	Ralf Schumacher	All
BMW WilliamsF1 Team	Williams - BMW	FW22	BMW E41	B	Jenson Button	All
Mild Seven Benetton Playlife	Benetton - Playlife	B200	Playlife FB02	B	Giancarlo Fisichella	All
Mild Seven Benetton Playlife	Benetton - Playlife	B200	Playlife FB02	B	Alexander Wurz	All
Gauloises Prost Peugeot	Prost - Peugeot	AP03	Peugeot A20	B	Jean Alesi	All
Gauloises Prost Peugeot	Prost - Peugeot	AP03	Peugeot A20	B	Nick Heidfeld	All
Red Bull Sauber Petronas	Sauber - Petronas	C19	Petronas SPE 04A	B	Pedro Diniz	All
Red Bull Sauber Petronas	Sauber - Petronas	C19	Petronas SPE 04A	B	Mika Salo	All
Arrows F1 Team	Arrows - Supertec	A21	Supertec FB02	B	Pedro de la Rosa	All
Arrows F1 Team	Arrows - Supertec	A21	Supertec FB02	B	Jos Verstappen	All
Telefónica Minardi Fondmetal	Minardi - Fondmetal	M02	Fondmetal RV10	B	Marc Gené	All
Telefónica Minardi Fondmetal	Minardi - Fondmetal	M02	Fondmetal RV10	B	Gastón Mazzacane	All
Lucky Strike Reynard BAR Honda	BAR - Honda	002	Honda RA000E	B	Jacques Villeneuve	All
Lucky Strike Reynard BAR Honda	BAR - Honda	002	Honda RA000E	B	Ricardo Zonta	All
