City of license /Market	Station	Channel TV ( DT )	Owned since	Primary affiliation
Phoenix	KSAZ-TV ++	10 (10)	1997	Fox
Phoenix	KUTP ¤¤	45 (26)	2001	MyNetworkTV
Los Angeles	KTTV **	11 (11)	1986	Fox
Los Angeles	KCOP ¤¤	13 (13)	2001	MyNetworkTV
Washington, D.C.	WTTG **	5 (36)	1986	Fox
Washington, D.C.	WDCA	20 (35)	2002	MyNetworkTV
Ocala – Gainesville, FL	WOGX (semi-satellite of WOFL)	51 (31)	2002	Fox
Orlando – Daytona Beach	WOFL	35 (22)	2002	Fox
Orlando – Daytona Beach	WRBW ¤¤	65 (41)	2001	MyNetworkTV
Tampa – St. Petersburg	WTVT ++	13 (12)	1997	Fox
Atlanta	WAGA-TV ++	5 (27)	1997	Fox
Chicago	WFLD **	32 (31)	1986	Fox
Gary, IN – Chicago	WPWR-TV	50 (51)	2002	MyNetworkTV
Boston	WFXT	25 (31)	1995 (previously owned from 1987–91)	Fox
Detroit	WJBK ++	2 (7)	1997	Fox
Minneapolis – St. Paul	KMSP-TV ¤¤	9 (9)	2001	Fox
Minneapolis – St. Paul	WFTC	29 (29)	2002	MyNetworkTV
Secaucus, NJ – New York City	WWOR-TV ¤¤	9 (38)	2001	MyNetworkTV
New York City	WNYW **	5 (44)	1986	Fox
Philadelphia	WTXF-TV	29 (42)	1995	Fox
Belmont – Charlotte	WJZY	46 (47)	2013	Fox
Rock Hill, SC – Charlotte	WMYT-TV	55 (39)	2013	MyNetworkTV
Memphis	WHBQ-TV	13 (13)	1994	Fox
Austin, Texas	KTBC ++	7 (7)	1997	Fox
Dallas – Fort Worth	KDFW ++	4 (35)	1997	Fox
Dallas – Fort Worth	KDFI	27 (36)	1998	MyNetworkTV
Houston	KRIV **	26 (26)	1986	Fox
