Place	Player	Country	Score	To par
1	Trevor Immelman	South Africa	68-68-69=205	–11
2	Brandt Snedeker	United States	69-68-70=207	–9
3	Steve Flesch	United States	72-67-69=208	–8
4	Paul Casey	England	71-69-69=209	–7
5	Tiger Woods	United States	72-71-68=211	–5
6	Stewart Cink	United States	72-69-71=212	–4
T7	Retief Goosen	South Africa	71-71-72=214	–2
T7	Pádraig Harrington	Ireland	74-71-69=214	–2
T7	Zach Johnson	United States	70-76-68-214	–2
T7	Robert Karlsson	Sweden	70-73-71=214	–2
T7	Phil Mickelson	United States	71-68-75=214	–2
T7	Sean O'Hair	United States	72-71-71=214	–2
T7	Ian Poulter	England	70-69-75=214	–2
T7	Andrés Romero	Argentina	72-72-70=214	–2
T7	Boo Weekley	United States	72-74-68=214	–2
