Entered [A ]	Weeks in top 10	Single	Artist	Peak	Peak reached [A ]	Weeks at peak
5 Cannot handle non-empty timestamp argument! 1993	7	" It's Alright "	East 17	3	9 Cannot handle non-empty timestamp argument! 1994	1
9 Cannot handle non-empty timestamp argument! 1994	4	" Anything "	Culture Beat	5	9 Cannot handle non-empty timestamp argument! 1994	2
6 Cannot handle non-empty timestamp argument! 1994	2	" A Deeper Love "	Aretha Franklin featuring Lisa Fischer	5	6 Cannot handle non-empty timestamp argument! 1994	1
6 Cannot handle non-empty timestamp argument! 1994	1	" Come In Out of the Rain "	Wendy Moten	8	6 Cannot handle non-empty timestamp argument! 1994	1
6 Cannot handle non-empty timestamp argument! 1994	1	" Sweet Lullaby "	Deep Forest	10	6 Cannot handle non-empty timestamp argument! 1994	1
6 Cannot handle non-empty timestamp argument! 1994	2	" Renaissance "	M People	5	6 Cannot handle non-empty timestamp argument! 1994	1
6 Cannot handle non-empty timestamp argument! 1994	1	" Rocks " / " Funky Jam "	Primal Scream	7	6 Cannot handle non-empty timestamp argument! 1994	1
6 Cannot handle non-empty timestamp argument! 1994	1	" The More You Ignore Me, The Closer I Get "	Morrissey	8	6 Cannot handle non-empty timestamp argument! 1994	1
3 Cannot handle non-empty timestamp argument! 1994	4	" Everything Changes "	Take That	1	3 Cannot handle non-empty timestamp argument! 1994	2
1 Cannot handle non-empty timestamp argument! 1994	6	" Inside "	Stiltskin	1	8 Cannot handle non-empty timestamp argument! 1994	1
1 Cannot handle non-empty timestamp argument! 1994	2	" Light My Fire " [F ]	Clubhouse featuring Carl	7	1 Cannot handle non-empty timestamp argument! 1994	1
5 Cannot handle non-empty timestamp argument! 1994	1	" Since I Don't Have You "	Guns N Roses	10	5 Cannot handle non-empty timestamp argument! 1994	1
3 Cannot handle non-empty timestamp argument! 1994	3	" Love Ain't Here Anymore "	Take That	3	3 Cannot handle non-empty timestamp argument! 1994	2
3 Cannot handle non-empty timestamp argument! 1994	2	" Word Up! "	GUN	8	3 Cannot handle non-empty timestamp argument! 1994	1
4 Cannot handle non-empty timestamp argument! 1994	3	" Confide in Me "	Kylie Minogue	2	4 Cannot handle non-empty timestamp argument! 1994	1
2 Cannot handle non-empty timestamp argument! 1994	2	" Secret "	Madonna	5	2 Cannot handle non-empty timestamp argument! 1994	1
9 Cannot handle non-empty timestamp argument! 1994	3	" Sure "	Take That	1	9 Cannot handle non-empty timestamp argument! 1994	2
