Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	18-6	Brett Cooper	KO (punch)	Bellator 95	1	3:39	Atlantic City, New Jersey , United States
Win	17-6	Sultan Aliev	Decision (split)	Bellator 92	3	5:00	Temecula, California , United States
Win	16-6	Andreas Spång	TKO (punch)	Bellator 89	1	3:03	Charlotte, North Carolina , United States
Win	15-6	Kala Hose	KO (punch)	Bellator 82	1	0:22	Mt. Pleasant, Michigan , United States
Loss	14-6	Zelg Galesic	KO (flying knee)	SFL 3	1	0:34	New Delhi , Delhi , India
Win	14-5	Richard Blake	KO (punch)	Twilight Fight Night - Numero Uno	1	0:21	Woodlake, California , United States
Loss	13-5	Givanildo Santana	Technical Submission (rear naked choke)	Tachi Palace Fights 10	1	0:29	Lemoore, California , United States
Loss	13-4	Kyacey Uscola	KO (punches)	Tachi Palace Fights: High Stakes	1	3:17	Lemoore, California , United States
Win	13-3	B.J. Lacy	Submission (rear naked choke)	Playboy Fight Night	3	1:35	Visalia, California , United States
Win	12-3	Keith Berry	KO (punches)	PURECOMBAT: Fearless	1	4:41	Tulare, California , United States
Win	11-3	Jaime Jara	Decision (split)	PFC 13	3	3:00	Lemoore, California , United States
Win	10-3	Rafael Real	TKO (punches)	PFC 11	1	1:09	Lemoore, California , United States
Win	9-3	Phil Collins	TKO (punches)	PFC 9	2	0:40	Lemoore, California , United States
Loss	8-3	Brian Stann	KO (punches)	WEC 33	1	1:35	Las Vegas, Nevada , United States
Win	8-2	Ariel Gandulla	Submission (armbar)	WEC 31	1	0:55	Las Vegas, Nevada , United States
Win	7-2	Justin McElfresh	KO (punch)	WEC 27	1	2:16	Las Vegas, Nevada , United States
Win	6-2	Lodune Sincaid	TKO (punches)	WEC 23	2	0:51	Lemoore, California , United States
Win	5-2	Jeff Terry	TKO (punches)	WEC 22	1	1:50	Lemoore, California , United States
Loss	4-2	Tim McKenzie	TKO (strikes)	WEC 19	1	3:35	Lemoore, California , United States
Loss	4-1	James Irvin	KO (knee)	WEC 15	2	0:45	Lemoore, California , United States
Win	4-0	Carlos Garcia	KO (punches)	WEC 12	1	2:46	Lemoore, California , United States
Win	3-0	Anthony Arria	Submission ( armbar )	WEC 10	1	0:22	Lemoore, California , United States
Win	2-0	Lavar Johnson	TKO (corner stoppage)	WEC 9	1	5:00	Lemoore, California , United States
Win	1-0	Anthony Fuller	Submission (strikes)	WEC 8	1	0:32	Lemoore, California , United States
