Player	Team	Matches	Inns	Runs	Balls	S/Rate	100s	Average
Joe Denly	Kent Spitfires	13	13	451	379	118.99	0	34.69
Anthony McGrath	Yorkshire Carnegie	9	9	392	296	132.43	0	56.00
Murray Goodwin	Sussex Sharks	10	10	345	273	126.37	0	43.13
Robert Key	Kent Spitfires	13	13	345	258	133.72	0	26.53
Michael Carberry	Hampshire Hawks	10	10	334	268	124.62	0	37.11
Graham Napier	Essex Eagles	12	11	326	167	195.20	1	32.60
Michael Lumb	Hampshire Hawks	10	10	315	209	150.71	0	31.50
Marcus Trescothick	Somerset Sabres	8	8	306	185	165.40	1	38.25
Dawid Malan	Middlesex Crusaders	12	10	306	220	139.09	1	61.20
Phil Mustard	Durham Dynamos	11	11	303	224	135.26	0	27.54
