Year	Henlopen West Division	Henlopen East Division	Conference Championship Game	Conference Champion
1969	Dover Air Force Base	Rehoboth	Dover Air Force Base 77 - Rehoboth 70	Dover Air Force Base
1968	Bridgeville	Milton	Bridgeville 65 - Milton 58	Bridgeville
1967	Bridgeville	Milton	Milton 54 - Bridgeville 52	Milton
1966	Felton	Milton	Milton 60 - Felton 58	Milton
1965	Felton	Milton	Felton 73 - Milton 58	Felton
1964	Felton	Lord Baltimore	Felton 81 - Lord Baltimore 59	Felton
1963	Felton	Rehoboth	Rehoboth 48 - Felton 44	Rehoboth
1962	Greenwood	Milton	Milton 46 - Greenwood 38	Milton
1961	No Division Champion	No Division Champion	No Game	Rehoboth
1960	No Division Champion	No Division Champion	No Game	Rehoboth
