Road race	Distance	Location	Country	Month held
Xiamen International Marathon	Marathon	Xiamen	China	January
Dubai Marathon	Marathon	Dubai	United Arab Emirates	January
World's Best 10K	10 km	San Juan	Puerto Rico	February
Tokyo Marathon	Marathon	Tokyo	Japan	February
Roma-Ostia Half Marathon	Half marathon	Rome	Italy	March
Lake Biwa Marathon	Marathon	Otsu	Japan	March
Nagoya Women's Marathon	Marathon	Nagoya	Japan	March
Rome Marathon	Marathon	Rome	Italy	March
Seoul International Marathon	Marathon	Seoul	South Korea	March
Lisbon Half Marathon	Half marathon	Lisbon	Portugal	March
Prague Half Marathon	Half marathon	Prague	Czech Republic	April
Paris Marathon	Marathon	Paris	France	April
Vienna City Marathon	Marathon	Vienna	Austria	April
Rotterdam Marathon	Marathon	Rotterdam	Netherlands	April
Boston Marathon	Marathon	Boston	United States	April
London Marathon	Marathon	London	United Kingdom	April
Yangzhou Jianzhen Half Marathon	Half marathon	Yangzhou	China	April
Hamburg Marathon	Marathon	Hamburg	Germany	April
Prague Marathon	Marathon	Prague	Czech Republic	May
Great Manchester Run	10K	Manchester	United Kingdom	May
Giro di Castelbuono	10 km	Castelbuono	Italy	July
Bogotá Half Marathon	Half marathon	Bogota	Colombia	July
Great North Run	Half marathon	Newcastle Upon Tyne	United Kingdom	September
Bogotá Women's 12K	12 km	Bogotá	Colombia	September
Berlin Marathon	Marathon	Berlin	Germany	September
Portugal Half Marathon	Half marathon	Lisbon	Portugal	October
Chicago Marathon	Marathon	Chicago	United States	October
Beijing Marathon	Marathon	Beijing	China	October
Amsterdam Marathon	Marathon	Amsterdam	Netherlands	October
Great South Run	10 miles	Portsmouth	United Kingdom	October
Frankfurt Marathon	Marathon	Frankfurt am Main	Germany	October
Istanbul Marathon	Marathon	Istanbul	Turkey	November
Fukuoka Marathon	Marathon	Fukuoka	Japan	December
Singapore Marathon	Marathon	Singapore	Singapore	December
