Season	Skip	Third	Second	Lead
1997–98	David Nedohin (fourth)	Randy Ferbey (skip)	Carter Rycroft	Pat McCallum
1998–99	David Nedohin (fourth)	Randy Ferbey (skip)	Scott Pfeifer	Carter Rycroft
2000–01	David Nedohin (fourth)	Randy Ferbey (skip)	Scott Pfeifer	Marcel Rocque
2001–02	David Nedohin (fourth)	Randy Ferbey (skip)	Scott Pfeifer	Marcel Rocque
2002–03	David Nedohin (fourth)	Randy Ferbey (skip)	Scott Pfeifer	Marcel Rocque
2003–04	David Nedohin (fourth)	Randy Ferbey (skip)	Scott Pfeifer	Marcel Rocque
2004–05	David Nedohin (fourth)	Randy Ferbey (skip)	Scott Pfeifer	Marcel Rocque
2007–08	David Nedohin (fourth)	Randy Ferbey (skip)	Scott Pfeifer	Marcel Rocque
2008–09	David Nedohin (fourth)	Randy Ferbey (skip)	Scott Pfeifer	Marcel Rocque
2009–10	David Nedohin (fourth)	Randy Ferbey (skip)	Scott Pfeifer	Marcel Rocque
2010–11	Randy Ferbey	David Nedohin	Blayne Iskiw	David Harper
2011–12	David Nedohin (fourth)	Randy Ferbey (skip)	Ted Appelman	Brendan Melnyk
2012–13	David Nedohin	Colin Hodgson	Mike Westlund	Tom Sallows
2013–14	Kevin Martin	David Nedohin	Marc Kennedy	Ben Hebert
