Player	Nat	Pos	L Apps	L G	C Apps	C G	Total Apps	Total G
Rubio	ESP	MF	36	2	6	0	42	2
Txema	ESP	MF	34	4	8	2	42	6
Palau	ESP	MF	37	3	4	2	41	5
Virgilio	ESP	DF	34	2	7	1	41	3
Salillas	ESP	FW	34	18	7	4	41	22
Milinković	BIH	FW	34	6	7	2	41	8
Babunski	MKD	DF	31	1	8	0	39	1
Elcacho	ESP	MF	28	0	6	0	34	0
David	ESP	DF	29	1	4	0	33	1
Roa	ESP	MF	26	1	7	0	33	1
Gonzalo	ESP	DF	26	2	6	0	32	2
Pineda	FRA	FW	23	3	6	1	29	4
Sola	ESP	FW	21	3	4	0	25	3
Bartolo	ESP	FW	21	2	3	0	24	2
Vicente	ESP	MF	15	2	5	0	20	2
Kuznetsov	RUS	DF	14	2	1	0	15	2
Baena	ESP	FW	6	0	2	0	8	0
Matías Rubio	ESP	DF	3	0	3	0	6	0
