Position	Number	Name	Height	Weight	Class	Hometown	Games↑
QB	5	Mike Hartline	6'6"	205	RS-So.	Canton, Ohio	1
TB	28	Tony Dixon	5'9"	203	Sr.	Parrish, Alabama	1
FB	38	John Conner	5'11"	230	Jr.	West Chester, Ohio	1
WR	12	Dicky Lyons	5'11"	190	Sr.	New Orleans, Louisiana	1
WR	18	Randall Cobb	5'11"	197	Fr.	Alcoa, Tennessee	0
TE	40	Maurice Grinter	6'3"	253	Jr.	Louisville, Kentucky	1
LT	52	Billy Joe Murphy	6'6"	292	Rs.-Fr.	Gamaliel, Kentucky	0
LG	72	Zipp Duncan	6'5"	295	Jr.	Magnolia, Kentucky	1
C	61	Jorge González	6'3"	303	Jr.	Tampa Bay, Florida	1
RG	73	Jess Beets	6'2"	293	Sr.	Dove Canyon, California	1
RT	76	Justin Jeffries	6'6"	310	Jr.	Louisville, Kentucky	1
