Shooter	Event	Rank points	Score points	Total
Vladimir Isakov ( RUS )	WCF 2007	Defending champion	Defending champion	Defending champion
Pang Wei ( CHN )	OG Beijing	Olympic gold medalist	Olympic gold medalist	Olympic gold medalist
Jin Jong-oh ( KOR )	OG Beijing	Olympic silver medalist	Olympic silver medalist	Olympic silver medalist
Jason Turner ( USA )	OG Beijing	Olympic bronze medalist	Olympic bronze medalist	Olympic bronze medalist
Lin Zhongzai ( CHN )	WC Munich	15	12	27
Franck Dumoulin ( FRA )	WC Beijing	15	7	22
Mauro Badaracchi ( ITA )	WC Rio de Janeiro	15	6	21
Dilshod Mukhtarov ( UZB )	WC Milan	10	9	19
Vladimir Gontcharov ( RUS )	WC Beijing	10	7	17
Boris Kokorev ( RUS )	WC Milan	8	8	16
Oleg Omelchuk ( UKR )	WC Rio de Janeiro	10	6	16
Norayr Bakhtamyan ( ARM )	WC Beijing	5	8	13
