Tournament	2007	2008	2009	2010	2011
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	1R	2R	1R	1R
French Open	2R	2R	1R	QF	2R
Wimbledon	SF	3R	2R	2R	2R
US Open	QF	3R	2R	3R	2R
Win–Loss	8–3	5–4	3–4	6–4	3–4
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells Masters	A	R1	R2	R1	R1
Miami Masters	A	R2	R1	R1	R1
Monte Carlo Masters	A	R2	R1	A	A
Rome Masters	A	R1	R2	A	A
Madrid Masters	A	R2	R2	A	R2
Canada Masters	A	A	R2	R1	A
Cincinnati Masters	A	A	R2	R1	A
Shanghai Masters	NMS	NMS	A	A	A
Paris Masters	A	QF	R1	R1	QF
Win–Loss	0–0	5–6	4–8	0–5	4–5
Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics
Titles–Finals	1–0	4–1	1–3	1–3	2–3
Year End Ranking	34	19	36	39	27
