Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
29	January 2	Miami Heat	W 113-109 (OT)	R. Pierce (34)	B. Benjamin (15)	N. McMillan , G. Payton (4)	Seattle Center Coliseum 10,787	16-13
30	January 4	Philadelphia 76ers	L 93-112	D. McKey (24)	M. Cage , S. Kemp (7)	G. Payton (7)	Seattle Center Coliseum 14,166	16-14
31	January 7	@ Denver Nuggets	W 106-99	R. Pierce (28)	S. Kemp (11)	G. Payton (4)	McNichols Sports Arena 8,877	17-14
32	January 8	Orlando Magic	L 103-104	B. Benjamin (24)	S. Kemp (8)	G. Payton (9)	Seattle Center Coliseum 9,958	17-15
33	January 10	@ Dallas Mavericks	W 94-82	E. Johnson (19)	S. Kemp (13)	G. Payton (9)	Reunion Arena	18-15
34	January 11	@ Houston Rockets	L 115-119	E. Johnson (28)	B. Benjamin , M. Cage (7)	N. McMillan (8)	The Summit 15,458	18-16
35	January 13	@ Los Angeles Clippers	L 94-98	E. Johnson (20)	B. Benjamin , E. Johnson , S. Kemp (10)	G. Payton (8)	Los Angeles Memorial Sports Arena 10,087	18-17
36	January 14	Charlotte Hornets	L 116-117 (OT)	R. Pierce (20)	S. Kemp (12)	B. Kofoed (9)	Seattle Center Coliseum 9,132	18-18
37	January 16	Los Angeles Clippers	W 101-98	R. Pierce (26)	S. Kemp (19)	G. Payton (6)	Seattle Center Coliseum 10,408	19-18
38	January 18	Los Angeles Lakers	W 112-108	R. Pierce (28)	M. Cage (10)	B. Benjamin (4)	Seattle Center Coliseum 14,533	20-18
39	January 20	@ Los Angeles Lakers	L 110-116	E. Johnson (29)	S. Kemp (15)	G. Payton (6)	Great Western Forum 17,236	20-19
40	January 21	Atlanta Hawks	L 119-128	R. Pierce (29)	S. Kemp (13)	G. Payton (10)	Seattle Center Coliseum 11,436	20-20
41	January 23	Portland Trail Blazers	L 109-113	S. Kemp (26)	E. Johnson , S. Kemp (9)	R. Pierce (8)	Seattle Center Coliseum 14,457	20-21
42	January 25	Utah Jazz	L 103-104	B. Benjamin , R. Pierce (22)	S. Kemp (12)	G. Payton (8)	Seattle Center Coliseum 14,084	20-22
43	January 28	@ Orlando Magic	W 102-97	E. Johnson (39)	E. Johnson (11)	G. Payton (7)	Orlando Arena 15,151	21-22
44	January 29	@ Miami Heat	L 114-119	R. Pierce (28)	S. Kemp (16)	G. Payton (11)	Miami Arena 14,728	21-23
