Date	Opponent	Score	Loss	Attendance	Record
July 1	Rangers	3 - 2 (10)	Russell (2-3)	50,379	46-31
July 3	Angels	10 - 1	Langston (8-6)	50,408	47-31
July 4	Angels	8 - 6	Eichhorn (1-4)	50,418	48-31
July 5	Angels	6 - 2	Valera (4-8)	50,398	49-31
July 6	Angels	3 - 0	Abbott (4-11)	50,406	50-31
July 7	Mariners	4 - 3	Nelson (0-4)	50,397	51-31
July 8	Mariners	6 - 0	Hanson (6-11)	50,391	52-31
July 9	Athletics	4 - 3	Gossage (0-2)	50,402	53-31
July 10	Athletics	5 - 1	Wells (4-4)	50,399	53-32
July 11	Athletics	3 - 1	Guzmán (11-2)	50,414	53-33
July 12	Athletics	8 - 0	Hentgen (5-1)	50,392	53-34
July 16	@ Mariners	7 - 2	Johnson (5-10)	52,711	54-34
July 17	@ Mariners	8 - 6	Key (6-7)	24,160	54-35
July 18	@ Mariners	3 - 0	Fleming (11-4)	43,922	55-35
July 19	@ Mariners	8 - 4	DeLucia (3-6)	28,560	56-35
July 20	@ Angels	5 - 3	Hentgen (5-2)	21,090	56-36
July 21	@ Angels	9 - 5	Crim (4-3)	21,581	57-36
July 22	@ Angels	5 - 4	Key (6-8)	22,178	57-37
July 23	@ Athletics	9 - 3	Moore (10-9)	24,707	58-37
July 24	@ Athletics	6 - 5	Henke (3-2)	30,206	58-38
July 25	@ Athletics	6 - 0	Stottlemyre (5-7)	36,086	58-39
July 26	@ Athletics	9 - 1	Morris (12-4)	34,595	58-40
July 28	Royals	6 - 4	Moeller (0-1)	50,392	59-40
July 29	Royals	5 - 2	Timlin (0-2)	50,418	59-41
July 30	Royals	3 - 0	Aquino (1-2)	50,417	60-41
July 31	Yankees	13 - 2	Hillegas (1-5)	50,407	61-41
