Constructor	Chassis	Engine	Tyre	Driver	Rounds
Lotus - Ford	49B 63	Ford Cosworth DFV 3.0 V8	F	Graham Hill	1-10
Lotus - Ford	49B 63	Ford Cosworth DFV 3.0 V8	F	Jochen Rindt	1-2, 4-11
Lotus - Ford	49B 63	Ford Cosworth DFV 3.0 V8	F	Mario Andretti	1, 7, 10
Lotus - Ford	49B 63	Ford Cosworth DFV 3.0 V8	F	Richard Attwood	3
Lotus - Ford	49B 63	Ford Cosworth DFV 3.0 V8	F	John Miles	5-6, 8-9, 11
Lotus - Ford	49B	Ford Cosworth DFV 3.0 V8	F	Jo Siffert	All
McLaren - Ford	M7A M7C M9A	Ford Cosworth DFV 3.0 V8	G	Denny Hulme	All
McLaren - Ford	M7A M7C M9A	Ford Cosworth DFV 3.0 V8	G	Bruce McLaren	All
McLaren - Ford	M7A M7C M9A	Ford Cosworth DFV 3.0 V8	G	Derek Bell	6
Matra - Ford	MS10 MS80 MS84	Ford Cosworth DFV 3.0 V8	D	Jackie Stewart	All
Matra - Ford	MS10 MS80 MS84	Ford Cosworth DFV 3.0 V8	D	Jean-Pierre Beltoise	All
Matra - Ford	MS10 MS80 MS84	Ford Cosworth DFV 3.0 V8	D	Johnny Servoz-Gavin	9-11
Matra - Ford	MS7	Ford Cosworth FVA 1.6 L4	D	Johnny Servoz-Gavin	7
Ferrari	312	Ferrari 255C 3.0 V12	F	Chris Amon	1-6
Ferrari	312	Ferrari 255C 3.0 V12	F	Pedro Rodríguez	6, 8-11
Ferrari	312	Ferrari 255C 3.0 V12	F	Tino Brambilla	8
BRM	P138 P133 P139	BRM P142 3.0 V12	D	John Surtees	1-4, 6-11
BRM	P138 P133 P139	BRM P142 3.0 V12	D	Jackie Oliver	1-4, 6-11
BRM	P138 P133 P139	BRM P142 3.0 V12	D	Bill Brack	9
BRM	P138 P133 P139	BRM P142 3.0 V12	D	George Eaton	10-11
BRM	P126	BRM P142 3.0 V12	G	Pedro Rodríguez	1-3
Brabham - Ford	BT26A BT26	Ford Cosworth DFV 3.0 V8	G	Jack Brabham	1-4, 8-11
Brabham - Ford	BT26A BT26	Ford Cosworth DFV 3.0 V8	G	Jacky Ickx	All
Lotus - Ford	49	Ford Cosworth DFV 3.0 V8	D	John Love	1
Brabham - Repco	BT24	Repco 620 3.0 V8	F	Sam Tingle	1
McLaren - Ford	M7A	Ford Cosworth DFV 3.0 V8	D	Basil van Rooyen	1
Brabham - Repco	BT20	Repco 620 3.0 V8	G	Peter de Klerk	1
Brabham - Ford	BT26A	Ford Cosworth DFV 3.0 V8	D	Piers Courage	2-11
Brabham - Ford	BT30	Ford Cosworth FVA 1.6 L4	D	Richard Attwood	7
Cooper - Maserati	T86B	Maserati 10/F1 3.0 V12	G	Vic Elford	3
McLaren - Ford	M7B	Ford Cosworth DFV 3.0 V8	G	Vic Elford	4-7
Brabham - Ford	BT24	Ford Cosworth DFV 3.0 V8	G	Silvio Moser	3-5, 8-11
Lotus - Ford	63 49B	Ford Cosworth DFV 3.0 V8	F	Joakim Bonnier	6-7
Brabham - Ford	BT30	Ford Cosworth FVA 1.6 L4	D	Kurt Ahrens, Jr.	7
Lotus - Ford	59B	Ford Cosworth FVA 1.6 L4	F	Hans Herrmann	7
Lotus - Ford	59B	Ford Cosworth FVA 1.6 L4	F	Rolf Stommelen	7
BMW	269	BMW M12/1 1.6 L4	D	Hubert Hahne	7
BMW	269	BMW M12/1 1.6 L4	D	Gerhard Mitter	7
BMW	269	BMW M12/1 1.6 L4	D	Dieter Quester	7
Matra - Ford	MS7	Ford Cosworth FVA 1.6 L4	D	Henri Pescarolo	7
Tecno - Ford	TF69	Ford Cosworth FVA 1.6 L4	D	François Cevert	7
Brabham - Ford	BT23C	Ford Cosworth FVA 1.6 L4	F	Xavier Perrot	7
Brabham - Ford	BT30	Ford Cosworth FVA 1.6 L4	F	Peter Westbury	7
Lotus - Ford	49B	Ford Cosworth DFV 3.0 V8	F	Pete Lovely	9-11
Brabham - Climax	BT23B	Climax FPF 2.8 L4	D	John Cordts	9
Eagle - Climax	T1F	Climax FPF 2.8 L4	F	Al Pease	9
