Episode	First broadcast	Seans team	Jons team	Scores
15x01	18 January 2013	Jack Dee and Claudia Winkleman	David O'Doherty and Josh Widdicombe	4–3
15x02	25 January 2013	Richard Bacon and Henning Wehn	Gemma Collins and Katherine Ryan	2–5
15x03	1 February 2013	Tina Malone and Joe Wilkinson	Chris Ramsey and Rachel Riley	3–4
15x04	8 February 2013	Kian Egan and Tony Law	Tess Daly and Stephen Mangan	3–4
15x05	15 February 2013	Paul Foot and Jamelia	Krishnan Guru-Murthy and David O'Doherty	2–4
15x06	22 February 2013	Danny Dyer and Miles Jupp	Alex Jones and Joe Wilkinson	3–2
15x07	1 March 2013	Jack Dee and Matt Edmondson	Rob Beckett and Victoria Coren	4–3
15x08	8 March 2013	Denise van Outen and Henning Wehn	Nick Helm and Vernon Kay	5–2
15x09	22 March 2013	Greg Rutherford and Jimeoin	Nancy Dell'Olio and Joe Wilkinson	1–3
15x10	29 March 2013	Chris Ramsey and Carol Vorderman	Susan Calman and Mel Giedroyc	3–1
15x11	05 July 2013	Compilation episode – best of Series 15 (Part 1)	Compilation episode – best of Series 15 (Part 1)	N/A
