Outcome	Date	Tournament	Surface	Opponent in the final	Score in the final
Runner-up	27 March 2005	Ain Alsoukhna , Egypt	Clay	Monica Niculescu	3–6, 4–6
Winner	9 April 2005	Cairo , Egypt	Clay	Sarah Raab	6–1, 6–3
Runner-up	14 August 2005	Hechingen , Germany	Clay	Kirsten Flipkens	4–6, 3–6
Winner	17 September 2005	Mestre , Italy	Clay	Kira Nagy	6–2, 7–5
Runner-up	18 February 2007	Průhonice – Prague , Czech Republic	Carpet (i)	Petra Kvitová	5–7, 6–7 (2–7)
Runner-up	9 December 2007	Přerov , Czech Republic	Hard (i)	Petra Kvitová	5–7, 3–6
Winner	22 March 2008	St. Petersburg – Vsevolozhsk , Russia	Hard (i)	Anna Lapushchenkova	6–4, 6–2
Winner	5 April 2008	Patras , Greece	Hard	Anne Keothavong	6–3, 7–5
Runner-up	10 August 2008	Monterrey , Mexico	Hard	Yaroslava Shvedova	4–6, 1–6
Runner-up	10 October 2010	Ningbo , China	Hard	Alberta Brianti	4–6, 4–6
Winner	15 May 2011	Prague , Czech Republic	Clay	Petra Kvitová	6–3, 6–4
