Ship	Launched	Location	Speed	Fate
VMV-1	1930	Germany	25 knots	Decommissioned 1950
VMV-2	1930	Germany	25 knots	Decommissioned 1950
VMV-3	1930	Helsinki , Finland	23 knots	Lost (burned) 1931
VMV-4 Former: Sterling	1916	Norway	16 knots	Retired 1939
VMV-5	1931	Uusikaupunki , Finland	23 knots	Decommissioned 1959
VMV-6	1931	Uusikaupunki , Finland	23 knots	Decommissioned 1960
VMV-7	1932	Turku , Finland	23 knots	Lost (burned and sunk) 1933
VMV-8	1935	Turku , Finland	23 knots	Lost (sunk) 1944
VMV-9	1935	Turku , Finland	23 knots	Decommissioned 1960
VMV-10	1935	Turku , Finland	23 knots	Lost (sunk) 1944
VMV-11	1935	Turku , Finland	23 knots	Preserved
VMV-12	1935	Turku , Finland	23 knots	Lost (sunk) 1944
VMV-13	1935	Turku , Finland	23 knots	Decommissioned 1971
VMV-14	1935	Turku , Finland	23 knots	Lost (sunk) 1944
VMV-15	1935	Turku , Finland	23 knots	Decommissioned 1964
VMV-16	1935	Turku , Finland	23 knots	Decommissioned 1965
VMV-17	1935	Turku , Finland	23 knots	Lost (sunk) 1944
VMV-18 Former: SP-1	1935	Porvoo , Finland	11 knots	Decommissioned 1958
VMV-19 Former: SP-41	1943	Tolkkinen , Finland	10 knots	Decommissioned 1970
VMV-20 Former: SP-42	1943	Tolkkinen , Finland	10 knots	Decommissioned 1970
