Team	2006–07 Pts	2007–08 Pts	2008–09 Pts	Total Pts	Total Pld
Boca Juniors	83	70	61	214	114
Estudiantes (LP)	81	69	57	207	114
San Lorenzo	73	64	63	200	114
Lanús	59	56	73	190	114
Vélez Sársfield	56	59	66	181	114
River Plate	71	66	41	178	114
Tigre	—	56	62	118	76
Huracán	—	52	58	110	76
Arsenal	62	51	46	159	114
Independiente	57	59	39	155	114
Colón	46	45	57	148	114
Godoy Cruz	—	—	49	49	38
Argentinos Juniors	46	61	38	145	114
Newell'sOldBoys	35	56	52	143	114
Racing	49	40	52	141	114
Banfield	39	54	46	139	114
Rosario Central	52	41	40	133	114
Gimnasia y Esgrima (LP)	40	36	55	131	114
San Martín (T)	—	—	40	40	38
Gimnasia y Esgrima (J)	43	35	38	116	114
