Settlement	Cyrillic Name Other Names	Type	Population (2011)	Largest ethnic group (2002)	Dominant religion (2002)
Irig	Ириг	town	4415	Serbs	Orthodox Christianity
Dobrodol	Добродол (Hungarian: Dobradópuszta)	village	107	Hungarians	Catholic Christianity
Grgetek	Гргетек	village	76	Serbs	Orthodox Christianity
Jazak	Јазак	village	960	Serbs	Orthodox Christianity
Krušedol Prnjavor	Крушедол Прњавор	village	234	Serbs	Orthodox Christianity
Krušedol Selo	Крушедол Село	village	340	Serbs	Orthodox Christianity
Mala Remeta	Мала Ремета	village	130	Serbs	Orthodox Christianity
Neradin	Нерадин	village	475	Serbs	Orthodox Christianity
Rivica	Ривица	village	620	Serbs	Orthodox Christianity
Šatrinci	Шатринци (Hungarian: Satrinca)	village	373	Hungarians	Catholic Christianity
Velika Remeta	Велика Ремета	village	44	Serbs	Orthodox Christianity
