Round	Pick #	Overall	Name	Position	College
1	9	9	Fred Taylor	Running Back	Florida
1	25	25	Donovin Darius	Safety	Syracuse
2	27	57	Cordell Taylor	Cornerback	Hampton
3	25	86	Jonathan Quinn	Quarterback	Middle Tennessee State
4	9	101	Tavian Banks	Running Back	Iowa
4	26	118	Harry Deligianis	Linebacker	Youngstown State
5	25	148	John Wade	Center	Marshall
6	26	179	Lamanzer Williams	Defensive End	Minnesota
6	29	182	Kevin McLeod	Running Back	Auburn
7	3	192	Alvis Whitted	Wide Receiver	North Carolina State
7	25	214	Brandon Tolbert	Linebacker	Georgia
