Driver	Constructor	Laps	Time/Retired	Grid
Damon Hill	Williams - Renault	71	1:49:52.976	1
Jean Alesi	Benetton - Renault	71	+17.982	5
Michael Schumacher	Ferrari	70	+1 Lap	4
Mika Häkkinen	McLaren - Mercedes	70	+1 Lap	7
Mika Salo	Tyrrell - Yamaha	70	+1 Lap	11
Olivier Panis	Ligier - Mugen-Honda	70	+1 Lap	15
Eddie Irvine	Ferrari	70	+1 Lap	10
Pedro Diniz	Ligier - Mugen-Honda	69	+2 Laps	22
Ukyo Katayama	Tyrrell - Yamaha	69	+2 Laps	16
Pedro Lamy	Minardi - Ford	68	+3 Laps	18
Luca Badoer	Forti - Ford	67	+4 Laps	19
Martin Brundle	Jordan - Peugeot	64	Spun off	6
Rubens Barrichello	Jordan - Peugeot	59	Spun off	2
Heinz-Harald Frentzen	Sauber - Ford	36	Engine	9
David Coulthard	McLaren - Mercedes	29	Spun off	14
Johnny Herbert	Sauber - Ford	28	Engine	12
Jacques Villeneuve	Williams - Renault	26	Spun off	3
Gerhard Berger	Benetton - Renault	26	Hydraulics	8
Andrea Montermini	Forti - Ford	26	Spun off	20
Ricardo Rosset	Footwork - Hart	24	Spun off	17
Jos Verstappen	Footwork - Hart	19	Engine	13
Tarso Marques	Minardi - Ford	0	Spun off	21
